"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs1661281-<b>T</b>,"6 x 10-6","(univariable, recessive)",NR,5.284,'-,[2.518-10.764],ANKRD22,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,10:88820573
rs919001-<b>A</b>,"7 x 10-6","(univariable, recessive)",NR,3.913,'-,[2.134-7.077],TRPM1,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,15:31064935
rs7314811-<b>C</b>,"3 x 10-6","(univariable, co-dominant)",NR,5.974,'-,[2.803-12.805],ETV6,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,12:11809639
rs16907305-<b>A</b>,"8 x 10-6","(univariable, co-dominant)",NR,5.55,'-,[2.611-11.857],ETV6,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,12:11812006
rs28611105-<b>G</b>,"5 x 10-9",,0.215,1.11,'-,[1.07-1.15],"ABHD12B, PYGL","Rectal cancer","rectum cancer",'-,GCST012204,14:50892940
rs2302274-<b>G</b>,"2 x 10-6",,0.4782,1.07,'-,1.04-1.10,CDX1,"Rectal cancer","rectum cancer",'-,GCST012204,5:150166863
rs73161913-<b>G</b>,"6 x 10-6",,0.9432,1.15,'-,1.08-1.22,LINC00513,"Rectal cancer","rectum cancer",'-,GCST012204,7:130923020
rs146801533-<b>G</b>,"4 x 10-7",,0.01007,1.8221574,'-,NR,SLC24A3,"Rectal cancer","rectum cancer",'-,GCST90011810,20:19186027
rs145503185-<b>C</b>,"4 x 10-8",,0.01279,1.8050541,'-,NR,'-,"Rectal cancer","rectum cancer",'-,GCST90011810,9:23455766
rs72716373-<b>C</b>,"1 x 10-6",,0.011799,1.7262213,'-,NR,SCOC,"Rectal cancer","rectum cancer",'-,GCST90011810,4:140385611
rs17604996-<b>G</b>,"1 x 10-7",,0.03886,1.4509577,'-,NR,MEGF10,"Rectal cancer","rectum cancer",'-,GCST90011810,5:127427395
rs16892766-<b>C</b>,"8 x 10-7",,NR,1.2921567,'-,NR,EIF3H,"Rectal cancer","rectum cancer",'-,GCST90011810,8:116618444
rs34829185-<b>A</b>,"7 x 10-7",,0.093672,1.271941,'-,NR,'-,"Rectal cancer","rectum cancer",'-,GCST90011810,8:13706716
rs58658771-<b>A</b>,"1 x 10-8",,NR,1.242236,'-,NR,"SCG5, GREM1","Rectal cancer","rectum cancer",'-,GCST90011810,15:32709533
rs12612141-<b>G</b>,"7 x 10-7",,0.327816,1.1741,'-,NR,'-,"Rectal cancer","rectum cancer",'-,GCST90011810,2:199006308
rs2027077-<b>G</b>,"2 x 10-7",,NR,1.181,'-,NR,LAMC1,"Rectal cancer","rectum cancer",'-,GCST90011810,1:183104318
rs4939827-<b>T</b>,"5 x 10-8",,NR,1.1864,'-,NR,SMAD7,"Rectal cancer","rectum cancer",'-,GCST90011810,18:48927093
rs3087967-<b>T</b>,"3 x 10-8",,NR,1.1994,'-,NR,C11orf53,"Rectal cancer","rectum cancer",'-,GCST90011810,11:111286111
rs6983267-<b>G</b>,"5 x 10-10",,NR,1.2151,'-,NR,"POU5F1B, CCAT2, CASC8, PCAT1","Rectal cancer","rectum cancer",'-,GCST90011810,8:127401060
rs78144988-<b>C</b>,"8 x 10-7",,0.013,54.9,'-,[11.2-268.4],LINC01709,"Rectal cancer","rectum cancer",'-,GCST90162555,1:101733832
rs13403794-<b>C</b>,"1 x 10-6",,0.012,65.5,'-,[12.0-355.9],"RNU4-73P, YWHAQ","Rectal cancer","rectum cancer",'-,GCST90162555,2:9644931
rs354856-<b>C</b>,"1 x 10-6",,0.027,17.4,'-,[5.5-55.0],LRP1B,"Rectal cancer","rectum cancer",'-,GCST90162555,2:141676101
rs116443146-<b>G</b>,"1 x 10-6",,0.013,40.3,'-,[9.2-176.9],"INPP4B, IL15","Rectal cancer","rectum cancer",'-,GCST90162555,4:141778240
rs72909399-<b>T</b>,"8 x 10-7",,0.014,74.7,'-,[13.5-414.7],"RNU4-12P, Y_RNA","Rectal cancer","rectum cancer",'-,GCST90162555,6:85871327
rs71516114-<b>C</b>,"3 x 10-6",,0.111,5.2,'-,[2.6-10.4],DLGAP2,"Rectal cancer","rectum cancer",'-,GCST90162555,8:834674
rs61848097-<b>G</b>,"3 x 10-6",,0.073,8.6,'-,[3.5-21.0],WDFY4,"Rectal cancer","rectum cancer",'-,GCST90162555,10:48926463
rs77470802-<b>G</b>,"5 x 10-6",,0.027,12.4,'-,[4.2-36.5],"LINC00645, MIR4307HG","Rectal cancer","rectum cancer",'-,GCST90162555,14:27078392
rs76799782-<b>A</b>,"4 x 10-6",,0.029,18.9,'-,[5.4-65.4],DGLUCY,"Rectal cancer","rectum cancer",'-,GCST90162555,14:91158200
rs141553824-<b>C</b>,"5 x 10-7",,0.017,45.8,'-,[10.4-202.4],BRD7,"Rectal cancer","rectum cancer",'-,GCST90162555,16:50346475
rs4939827-<b>?</b>,"2 x 10-10",(women),'-,'-,'-,'-,SMAD7,"Colorectal cancer x BMI interaction (2df)","colorectal adenocarcinoma, body mass index",'-,GCST010992,18:48927093
rs3124454-<b>G</b>,"1 x 10-8",,0.581,1.07,'-,[1.04-1.09],"CHORDC1P5, CASP3P1","Colon cancer","colon carcinoma",'-,GCST012203,1:70574483
rs353548-<b>G</b>,"1 x 10-8",,0.953,1.15,'-,[1.10-1.21],TWF2,"Colon cancer","colon carcinoma",'-,GCST012203,3:52235475
rs736037-<b>A</b>,"3 x 10-8",,0.286,1.07,'-,[1.04-1.09],FAM118A,"Colon cancer","colon carcinoma",'-,GCST012203,22:45329118
rs146225887-<b>A</b>,"8 x 10-7",,0.011024,1.676446,'-,NR,'-,"Colon cancer","colon carcinoma",'-,GCST90011811,10:57845564
rs71518872-<b>G</b>,"1 x 10-8",,0.015359,1.5725743,'-,NR,"ODF1, RNU6-1224P","Colon cancer","colon carcinoma",'-,GCST90011811,8:102549750
rs139372065-<b>G</b>,"8 x 10-7",,0.012974,1.5422578,'-,NR,ZCWPW2,"Colon cancer","colon carcinoma",'-,GCST90011811,3:28471912
rs112408346-<b>T</b>,"3 x 10-7",,0.020995,1.4218683,'-,NR,CRISPLD1,"Colon cancer","colon carcinoma",'-,GCST90011811,8:74969644
rs117079142-<b>A</b>,"8 x 10-7",,NR,1.283697,'-,NR,UTP23,"Colon cancer","colon carcinoma",'-,GCST90011811,8:116778675
rs8114643-<b>G</b>,"2 x 10-9",,0.135812,1.2072921,'-,NR,HAO1,"Colon cancer","colon carcinoma",'-,GCST90011811,20:7852399
rs12140498-<b>T</b>,"9 x 10-9",,NR,1.1737089,'-,NR,LINC02257,"Colon cancer","colon carcinoma",'-,GCST90011811,1:221925348
rs4381148-<b>C</b>,"3 x 10-7",,0.444434,1.1261,'-,NR,RGL1,"Colon cancer","colon carcinoma",'-,GCST90011811,1:183834292
rs10951878-<b>C</b>,"2 x 10-7",,0.491105,1.1292,'-,NR,'-,"Colon cancer","colon carcinoma",'-,GCST90011811,7:46887097
rs6066825-<b>A</b>,"1 x 10-7",,0.634792,1.1387,'-,NR,PREX1,"Colon cancer","colon carcinoma",'-,GCST90011811,20:48723580
rs6507874-<b>T</b>,"3 x 10-8",,NR,1.1402,'-,NR,SMAD7,"Colon cancer","colon carcinoma",'-,GCST90011811,18:48922435
rs7014346-<b>A</b>,"4 x 10-17",,NR,1.2191,'-,NR,"CASC8, POU5F1B, PCAT1","Colon cancer","colon carcinoma",'-,GCST90011811,8:127412547
rs17841839-<b>C</b>,"9 x 10-7",,NR,1.3663,'-,NR,RHPN2,"Colon cancer","colon carcinoma",'-,GCST90011811,19:33026295
rs7300446-<b>?</b>,"1 x 10-6",,'-,1.56,'-,[1.30-1.87],MGST1,"Metastatic colorectal cancer survival in treatment with chemotherapy plus biologics","metastatic colorectal cancer, survival time","response to antineoplastic agent",GCST011584,12:16521286
rs11644916-<b>?</b>,"4 x 10-6",,'-,1.4,'-,[1.20-1.59],AXIN1,"Metastatic colorectal cancer survival in treatment with chemotherapy plus biologics","metastatic colorectal cancer, survival time","response to antineoplastic agent",GCST011584,16:309567
rs2461035-<b>?</b>,"5 x 10-6",,'-,0.72,'-,[0.62-0.83],"HEY1, STMN2","Metastatic colorectal cancer survival in treatment with chemotherapy plus biologics","metastatic colorectal cancer, survival time","response to antineoplastic agent",GCST011584,8:79677902
rs16985284-<b>?</b>,"5 x 10-6",,'-,1.56,'-,[1.29-1.89],RDH14,"Metastatic colorectal cancer survival in treatment with chemotherapy plus biologics","metastatic colorectal cancer, survival time","response to antineoplastic agent",GCST011584,2:18553898
rs11246159-<b>?</b>,"6 x 10-6",,'-,1.47,'-,[1.24-1.75],ANO9,"Metastatic colorectal cancer survival in treatment with chemotherapy plus biologics","metastatic colorectal cancer, survival time","response to antineoplastic agent",GCST011584,11:436461
rs898838-<b>?</b>,"8 x 10-6",,'-,0.74,'-,[0.65-0.85],"KCNS3, MSGN1","Metastatic colorectal cancer survival in treatment with chemotherapy plus biologics","metastatic colorectal cancer, survival time","response to antineoplastic agent",GCST011584,2:17858241
rs2936519-<b>A</b>,"2 x 10-7",,NR,1.8867927,'-,[1.49-2.33],"AGPAT5, XKR5","Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)","progression free survival, metastatic colorectal cancer, response to cetuximab, response to CAPOX-B",'-,GCST003058,8:6781719
rs2073016-<b>T</b>,"4 x 10-6",,NR,1.62,'-,[1.31-2],OARD1,"Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)","progression free survival, metastatic colorectal cancer, response to cetuximab, response to CAPOX-B",'-,GCST003058,6:41053183
rs4377367-<b>C</b>,"6 x 10-6",,NR,1.5873016,'-,[1.32-1.92],ARHGEF4,"Progression free survival in metastatic colorectal cancer (CAPOX-B vs CAPOX-B plus cetuximab)","progression free survival, metastatic colorectal cancer, response to cetuximab, response to CAPOX-B",'-,GCST003058,2:130967332
rs885036-<b>A</b>,"2 x 10-8",,'-,2.13,'-,[1.64-2.78],MGAT4A,"Progression free survival in metastatic colorectal cancer (chemotherapy interaction)","progression free survival, metastatic colorectal cancer, response to cetuximab, response to CAPOX-B",'-,GCST003057,2:98688331
rs17026425-<b>?</b>,"7 x 10-7","(overall survival)",'-,5.06,'-,[2.67-9.60],IQCM,"Survival in rectal cancer","rectum cancer, overall survival",'-,GCST002821,4:149751362
rs6854845-<b>?</b>,"9 x 10-7","(overall survival)",'-,4.12,'-,[2.34-7.26],"HSPE1P23, BTC","Survival in rectal cancer","rectum cancer, overall survival",'-,GCST002821,4:74821455
rs157411-<b>?</b>,"2 x 10-6","(overall survival)",'-,2.89,'-,[1.86-4.47],'-,"Survival in rectal cancer","rectum cancer, overall survival",'-,GCST002821,5:67999079
rs7004484-<b>?</b>,"2 x 10-6","(overall survival)",'-,2.79,'-,[1.83-4.25],EFR3A,"Survival in rectal cancer","rectum cancer, overall survival",'-,GCST002821,8:131922291
rs338389-<b>?</b>,"3 x 10-6","(overall survival)",'-,3.4,'-,[2.04-5.67],"PIAS1, RNU6-1","Survival in rectal cancer","rectum cancer, overall survival",'-,GCST002821,15:67967670
rs1555895-<b>?</b>,"3 x 10-6","(overall survival)",'-,2.94,'-,[1.85-4.55],LARP4B,"Survival in rectal cancer","rectum cancer, overall survival",'-,GCST002821,10:791467
rs16867335-<b>?</b>,"4 x 10-6","(overall survival)",'-,3.27,'-,[1.98-5.42],SCHLAP1,"Survival in rectal cancer","rectum cancer, overall survival",'-,GCST002821,2:180594207
rs1573948-<b>?</b>,"4 x 10-6","(overall survival)",'-,2.71,'-,[1.77-4.15],BTF3P7,"Survival in rectal cancer","rectum cancer, overall survival",'-,GCST002821,6:6786192
rs10152207-<b>?</b>,"5 x 10-6","(overall survival)",'-,3.06,'-,[1.90-4.93],TMCO5A,"Survival in rectal cancer","rectum cancer, overall survival",'-,GCST002821,15:37837578
rs1570271-<b>?</b>,"1 x 10-7","(disease-free survival)",'-,3.66,'-,[2.26-5.94],"HABP2, PPIAP39","Survival in rectal cancer","disease free survival, rectum cancer",'-,GCST002821,10:113528742
rs17057166-<b>?</b>,"2 x 10-7","(disease-free survival)",'-,5.56,'-,[2.91-10.64],LINC01847,"Survival in rectal cancer","disease free survival, rectum cancer",'-,GCST002821,5:159821007
rs4868304-<b>?</b>,"3 x 10-7","(disease-free survival)",'-,2.91,'-,[1.94-4.37],LINC01942,"Survival in rectal cancer","disease free survival, rectum cancer",'-,GCST002821,5:173704454
rs6854845-<b>?</b>,"6 x 10-7","(disease-free survival)",'-,3.31,'-,[2.07-5.30],"HSPE1P23, BTC","Survival in rectal cancer","disease free survival, rectum cancer",'-,GCST002821,4:74821455
rs4959799-<b>?</b>,"5 x 10-6","(disease-free survival)",'-,3.5,'-,[2.05-5.99],"PSMG4, SLC22A23","Survival in rectal cancer","disease free survival, rectum cancer",'-,GCST002821,6:3294794
rs11138220-<b>?</b>,"8 x 10-6","(disease-free survival)",'-,2.76,'-,[1.77-4.31],"CHCHD2P9, LNCARSR","Survival in rectal cancer","disease free survival, rectum cancer",'-,GCST002821,9:79445613
rs10275272-<b>?</b>,"8 x 10-6","(disease-free survival)",'-,3.19,'-,[1.92-5.31],"FERD3L, TWIST1","Survival in rectal cancer","disease free survival, rectum cancer",'-,GCST002821,7:19121274
rs3781663-<b>?</b>,"8 x 10-6","(disease-free survival)",'-,2.24,'-,[1.57-3.19],ANO1,"Survival in rectal cancer","disease free survival, rectum cancer",'-,GCST002821,11:70153146
rs9419702-<b>?</b>,"9 x 10-6","(disease-free survival)",'-,2.54,'-,[1.68-3.83],LINC01164,"Survival in rectal cancer","disease free survival, rectum cancer",'-,GCST002821,10:131698817
rs73171906-<b>T</b>,"6 x 10-7",,0.23,2.2,'-,[1.6-2.9],CNTNAP2,"Rectal cancer vs colon cancer","rectum cancer, colonic neoplasm",'-,GCST90179122,7:148289437
rs9773025-<b>G</b>,"2 x 10-6",,0.414,0.5,'-,[0.3-0.6],XKR5,"Rectal cancer vs colon cancer","rectum cancer, colonic neoplasm",'-,GCST90179122,8:6816936
rs79619562-<b>C</b>,"2 x 10-6",,0.1,2.7,'-,[1.8-4.1],DYRK1A,"Rectal cancer vs colon cancer","rectum cancer, colonic neoplasm",'-,GCST90179122,21:37370120
rs58443603-<b>A</b>,"1 x 10-6",,NR,3.768,'-,[2.201-6.452],MACF1,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,1:39166643
rs148801689-<b>A</b>,"4 x 10-6",,NR,2.74,'-,[1.781-4.214],"CR1L, CD46P1","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,1:207645494
rs3900452-<b>A</b>,"6 x 10-6",,NR,0.67,'-,[0.5636-0.7966],"MRPL50P1, RPL21P36","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,2:35740885
rs4547518-<b>T</b>,"2 x 10-6",,NR,1.698,'-,[1.366-2.111],MEIS1,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,2:66499436
rs13025471-<b>A</b>,"7 x 10-6",,NR,2.281,'-,[1.593-3.266],LRRTM4,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,2:77502445
rs2204916-<b>G</b>,"7 x 10-6",,NR,2.281,'-,[1.593-3.266],LRRTM4,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,2:77502888
rs78721198-<b>T</b>,"7 x 10-6",,NR,2.989,'-,[1.857-4.814],THSD7B,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,2:136969524
rs186913073-<b>T</b>,"3 x 10-6",,NR,2.405,'-,[1.662-3.479],"FRMD4B, MITF","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,3:69549563
rs554254417-<b>C</b>,"7 x 10-6",,NR,3.725,'-,[2.096-6.62],CNTN3,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,3:74462252
rs118116136-<b>C</b>,"7 x 10-6",,NR,2.469,'-,[1.663-3.665],TP63,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,3:189885192
rs9811548-<b>G</b>,"2 x 10-6",,NR,1.578,'-,[1.307-1.906],LINC02037,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,3:194252017
rs800401-<b>G</b>,"1 x 10-6",,NR,1.631,'-,[1.34-1.986],"SOD3, HNRNPA1P65","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,4:24779233
rs699473-<b>T</b>,"6 x 10-6",,NR,0.6291,'-,[0.5144-0.7693],SOD3,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,4:24795181
rs138487448-<b>C</b>,"5 x 10-6",,NR,2.567,'-,[1.71-3.855],LINC02485,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,4:135122677
rs181288017-<b>C</b>,"1 x 10-5",,NR,2.052,'-,[1.492-2.822],"RNU4-11P, HAPLN1","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,5:83799222
rs139660828-<b>T</b>,"2 x 10-6",,NR,3.332,'-,[2.024-5.484],CDX1,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,5:150176649
rs117756644-<b>A</b>,"1 x 10-6",,NR,2.36,'-,[1.667-3.341],KIF6,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,6:39627749
rs140432770-<b>C</b>,"4 x 10-6",,NR,4.097,'-,[2.246-7.474],"Y_RNA, LINC02549","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,6:67848787
rs141641519-<b>A</b>,"9 x 10-8",,NR,3.544,'-,[2.229-5.637],"RNU4-66P, KRT19P1","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,6:71620235
rs80024636-<b>C</b>,"3 x 10-6",,NR,2.586,'-,[1.736-3.853],ARMC2,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,6:108853938
rs187043769-<b>G</b>,"2 x 10-6",,NR,4.108,'-,[2.299-7.343],MAP3K4,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,6:161050006
rs74671254-<b>T</b>,"5 x 10-6",,NR,3.007,'-,[1.873-4.827],"FOXK1, CYP3A54P","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,7:4564348
rs144738335-<b>T</b>,"2 x 10-6",,NR,2.452,'-,[1.697-3.543],"ZNF746, ZNF777","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,7:149469784
rs188559666-<b>C</b>,"5 x 10-6",,NR,2.378,'-,[1.638-3.452],ZNF767P,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,7:149599033
rs79096001-<b>C</b>,"5 x 10-7",,NR,3.867,'-,[2.28-6.558],VLDLR-AS1,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,9:2547141
rs138987586-<b>C</b>,"5 x 10-6",,NR,2.358,'-,[1.63-3.412],"GAPDHP26, ACTG1P19","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,9:100892749
rs4074426-<b>G</b>,"2 x 10-6",,NR,2.13,'-,[1.556-2.915],"ANAPC2, TMEM210","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,9:137173890
rs11556579-<b>C</b>,"8 x 10-6",,NR,2.817,'-,[1.787-4.441],SSNA1,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,9:137188868
rs11556580-<b>A</b>,"8 x 10-6",,NR,2.817,'-,[1.787-4.441],SSNA1,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,9:137189924
rs3087779-<b>A</b>,"8 x 10-6",,NR,2.817,'-,[1.787-4.441],SSNA1,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,9:137190033
rs66855886-<b>C</b>,"6 x 10-6",,NR,2.111,'-,[1.529-2.914],"SSNA1, TPRN","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,9:137190934
rs66708191-<b>A</b>,"2 x 10-6",,NR,2.295,'-,[1.626-3.238],TPRN,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,9:137200984
rs35100258-<b>C</b>,"3 x 10-6",,NR,2.281,'-,[1.61-3.232],TPRN,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,9:137201785
rs111372889-<b>T</b>,"9 x 10-6",,NR,2.794,'-,[1.775-4.396],TPRN,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,9:137203427
rs138402794-<b>C</b>,"4 x 10-6",,NR,2.777,'-,[1.802-4.281],"FAM238B, FAM238A","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,10:26594755
rs139807789-<b>G</b>,"2 x 10-7",,NR,3.372,'-,[2.139-5.315],STK33,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,11:8435919
rs149689009-<b>A</b>,"8 x 10-6",,NR,3.317,'-,[1.959-5.616],"AMOTL1, ST13P11","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,11:94911592
rs143751146-<b>G</b>,"8 x 10-6",,NR,3.492,'-,[2.016-6.049],GUCY1A2,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,11:107017649
rs138880813-<b>T</b>,"5 x 10-6",,NR,3.06,'-,[1.896-4.938],FGD6,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,12:95133263
rs184111067-<b>G</b>,"1 x 10-6",,NR,3.418,'-,[2.084-5.606],SPATA13,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,13:24126552
rs76220826-<b>C</b>,"4 x 10-6",,NR,3.383,'-,[2.012-5.686],TRAF3,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,14:102803326
rs571254580-<b>A</b>,"9 x 10-6",,NR,3.08,'-,[1.876-5.055],YWHAEP7,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,17:37850385
rs79426955-<b>A</b>,"2 x 10-6",,NR,2.829,'-,[1.837-4.357],TSHZ1,"Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,18:75272017
rs235728-<b>C</b>,"3 x 10-6",,NR,0.6517,'-,[0.5452-0.7789],"LINC01428, BMP2","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,20:6812395
rs6028555-<b>A</b>,"5 x 10-6",,NR,0.6182,'-,[0.5026-0.7603],"HSPE1P1, RN7SL680P","Time to colon cancer recurrence","disease recurrence, colon carcinoma",'-,GCST90060090,20:39618018
rs6983267-<b>T</b>,"7 x 10-12",,0.481,'-,'-,'-,"POU5F1B, CCAT2, CASC8, PCAT1","Colorectal cancer","colorectal cancer",'-,GCST008372,8:127401060
rs58658771-<b>A</b>,"1 x 10-10",,0.179,'-,'-,'-,"SCG5, GREM1","Colorectal cancer","colorectal cancer",'-,GCST008372,15:32709533
rs6507874-<b>C</b>,"2 x 10-14",,0.473,'-,'-,'-,SMAD7,"Colorectal cancer","colorectal cancer",'-,GCST008372,18:48922435
rs16959063-<b>A</b>,"4 x 10-8",,0.01,1.3,'-,[1.18-1.42],FMN1,"Colorectal cancer","colorectal cancer",'-,GCST007992,15:32813529
rs2070699-<b>T</b>,"4 x 10-9",,0.48,1.07,'-,[1.04-1.09],EDN1,"Colorectal cancer","colorectal cancer",'-,GCST007992,6:12292539
rs16969681-<b>T</b>,"3 x 10-27",,0.09,1.22,'-,[1.18-1.27],"GREM1, SCG5","Colorectal cancer","colorectal cancer",'-,GCST007992,15:32700910
rs12255141-<b>G</b>,"3 x 10-9",,0.1,1.11,'-,[1.07-1.15],VTI1A,"Colorectal cancer","colorectal cancer",'-,GCST007992,10:112535133
rs12979278-<b>T</b>,"6 x 10-10",,0.53,1.07,'-,[1.05-1.09],MAMSTR,"Colorectal cancer","colorectal cancer",'-,GCST007992,19:48715345
