"","VariantID","DISEASE/TRAIT","MAPPED_GENE","CONTEXT","INTERGENIC","RISK ALLELE FREQUENCY","MAPPED_TRAIT","EnsVar_most_severe_consequence","Parent term","monogenic_searched_resource","monogenic_disease_name"
"30","rs1698919","Age at loss of ambulation in Duchenne muscular dystrophy","","regulatory_region_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","regulatory_region_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"31","rs17567824","Age at loss of ambulation in Duchenne muscular dystrophy","ADCY1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"32","rs17567824","Age at loss of ambulation in Duchenne muscular dystrophy","ADCY1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"33","rs17567824","Age at loss of ambulation in Duchenne muscular dystrophy","ADCY1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"34","rs17567824","Age at loss of ambulation in Duchenne muscular dystrophy","ADCY1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"35","rs201158842","Age at loss of ambulation in Duchenne muscular dystrophy","SLC25A48","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"36","rs201158842","Age at loss of ambulation in Duchenne muscular dystrophy","SLC25A48","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"37","rs2725797","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02694","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"38","rs2725797","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02694","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"39","rs2725797","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02694","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"40","rs2725797","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02694","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"41","rs2829877","Age at loss of ambulation in Duchenne muscular dystrophy","JAM2","3_prime_UTR_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","3_prime_UTR_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"42","rs2829877","Age at loss of ambulation in Duchenne muscular dystrophy","JAM2","3_prime_UTR_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","3_prime_UTR_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"43","rs35396788","Age at loss of ambulation in Duchenne muscular dystrophy","TAPT1-AS1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"44","rs35396788","Age at loss of ambulation in Duchenne muscular dystrophy","TAPT1-AS1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"45","rs35693284","Age at loss of ambulation in Duchenne muscular dystrophy","RN7SL551P - CYB5A","intron_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"46","rs35693284","Age at loss of ambulation in Duchenne muscular dystrophy","RN7SL551P - CYB5A","intron_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"47","rs3822095","Age at loss of ambulation in Duchenne muscular dystrophy","SNCA","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"48","rs3822095","Age at loss of ambulation in Duchenne muscular dystrophy","SNCA","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"49","rs56979833","Age at loss of ambulation in Duchenne muscular dystrophy","NCAPGP2 - SYNGR2P1","intron_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"50","rs56979833","Age at loss of ambulation in Duchenne muscular dystrophy","NCAPGP2 - SYNGR2P1","intron_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"51","rs56979833","Age at loss of ambulation in Duchenne muscular dystrophy","NCAPGP2 - SYNGR2P1","intron_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"52","rs56979833","Age at loss of ambulation in Duchenne muscular dystrophy","NCAPGP2 - SYNGR2P1","intron_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"53","rs61903333","Age at loss of ambulation in Duchenne muscular dystrophy","RN7SL435P - OR5AN2P","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"54","rs61903333","Age at loss of ambulation in Duchenne muscular dystrophy","RN7SL435P - OR5AN2P","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"55","rs6499854","Age at loss of ambulation in Duchenne muscular dystrophy","NUP93","3_prime_UTR_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","3_prime_UTR_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"56","rs6499854","Age at loss of ambulation in Duchenne muscular dystrophy","NUP93","3_prime_UTR_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","3_prime_UTR_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"57","rs6736607","Age at loss of ambulation in Duchenne muscular dystrophy","SLC8A1, SLC8A1-AS1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"58","rs6736607","Age at loss of ambulation in Duchenne muscular dystrophy","SLC8A1, SLC8A1-AS1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"59","rs6788567","Age at loss of ambulation in Duchenne muscular dystrophy","CCDC80 - LINC02042","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"60","rs6788567","Age at loss of ambulation in Duchenne muscular dystrophy","CCDC80 - LINC02042","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"61","rs6891905","Age at loss of ambulation in Duchenne muscular dystrophy","SPEF2","3_prime_UTR_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","3_prime_UTR_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"62","rs6891905","Age at loss of ambulation in Duchenne muscular dystrophy","SPEF2","3_prime_UTR_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","3_prime_UTR_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"63","rs6891905","Age at loss of ambulation in Duchenne muscular dystrophy","SPEF2","3_prime_UTR_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","3_prime_UTR_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"64","rs6891905","Age at loss of ambulation in Duchenne muscular dystrophy","SPEF2","3_prime_UTR_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","3_prime_UTR_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"65","rs710160","Age at loss of ambulation in Duchenne muscular dystrophy","SHKBP1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"66","rs710160","Age at loss of ambulation in Duchenne muscular dystrophy","SHKBP1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"67","rs710160","Age at loss of ambulation in Duchenne muscular dystrophy","SHKBP1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"68","rs710160","Age at loss of ambulation in Duchenne muscular dystrophy","SHKBP1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"69","rs7108263","Age at loss of ambulation in Duchenne muscular dystrophy","NA - LINC02697","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"70","rs7108263","Age at loss of ambulation in Duchenne muscular dystrophy","NA - LINC02697","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"71","rs7108263","Age at loss of ambulation in Duchenne muscular dystrophy","NA - LINC02697","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"72","rs7108263","Age at loss of ambulation in Duchenne muscular dystrophy","NA - LINC02697","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"73","rs72680082","Age at loss of ambulation in Duchenne muscular dystrophy","LINC01588","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"74","rs72680082","Age at loss of ambulation in Duchenne muscular dystrophy","LINC01588","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"75","rs72737007","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02112 - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"76","rs72737007","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02112 - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"77","rs72737007","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02112 - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"78","rs72737007","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02112 - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"79","rs73262722","Age at loss of ambulation in Duchenne muscular dystrophy","UNCX - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"80","rs73262722","Age at loss of ambulation in Duchenne muscular dystrophy","UNCX - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"81","rs73262722","Age at loss of ambulation in Duchenne muscular dystrophy","UNCX - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"82","rs73262722","Age at loss of ambulation in Duchenne muscular dystrophy","UNCX - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"83","rs73679687","Age at loss of ambulation in Duchenne muscular dystrophy","DGKB","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"84","rs73679687","Age at loss of ambulation in Duchenne muscular dystrophy","DGKB","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"85","rs74643788","Age at loss of ambulation in Duchenne muscular dystrophy","XYLT1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"86","rs74643788","Age at loss of ambulation in Duchenne muscular dystrophy","XYLT1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"87","rs74643788","Age at loss of ambulation in Duchenne muscular dystrophy","XYLT1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"88","rs74643788","Age at loss of ambulation in Duchenne muscular dystrophy","XYLT1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"89","rs754118","Age at loss of ambulation in Duchenne muscular dystrophy","PTPN1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"90","rs754118","Age at loss of ambulation in Duchenne muscular dystrophy","PTPN1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"91","rs754118","Age at loss of ambulation in Duchenne muscular dystrophy","PTPN1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"92","rs754118","Age at loss of ambulation in Duchenne muscular dystrophy","PTPN1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"93","rs77093473","Age at loss of ambulation in Duchenne muscular dystrophy","NSG2 - LINC01411","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"94","rs77093473","Age at loss of ambulation in Duchenne muscular dystrophy","NSG2 - LINC01411","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"95","rs78864163","Age at loss of ambulation in Duchenne muscular dystrophy","SATB1, TBC1D5","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"96","rs78864163","Age at loss of ambulation in Duchenne muscular dystrophy","SATB1, TBC1D5","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"97","rs7960954","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02408","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"98","rs7960954","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02408","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"99","rs841163","Age at loss of ambulation in Duchenne muscular dystrophy","OR14K1 - OR1C1","non_coding_transcript_exon_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
