"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs9937709-<b>A</b>,"4 x 10-16",(EA),0.587,'-,"0.04399 unit increase",[0.033-0.055],FTO,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,16:53786901
rs4794018-<b>C</b>,"2 x 10-8",(EA),0.337,'-,"0.03221 unit increase",[0.021-0.044],IGF2BP1,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,17:49016036
rs35572189-<b>A</b>,"8 x 10-10",(EA),0.368,'-,"0.03454 unit increase",[0.024-0.046],BAHCC1,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,17:81451999
rs150627184-<b>C</b>,"7 x 10-21",(AA),0.809,'-,"0.112 unit increase",[0.089-0.135],"ADH6, ADH1A","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:99242230
rs1229984-<b>C</b>,"1 x 10-19",(AA),0.989,'-,"0.412 unit increase",[0.32-0.5],ADH1B,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:99318162
rs1229984-<b>C</b>,"4 x 10-16",(Latino),0.938,'-,"0.349 unit increase",[0.26-0.43],ADH1B,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:99318162
rs3782886-<b>C</b>,"5 x 10-17","(East Asian)",0.205,'-,"0.602 unit decrease",[0.46-0.74],BRAP,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,12:111672685
rs60610174-<b>A</b>,"3 x 10-8","(EA, women)",0.0693,'-,"0.1567 unit increase",[0.1-0.21],"ZMYM5, ZMYM2","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,13:19895213
rs41355452-<b>A</b>,"4 x 10-8","(AA, women)",0.13,'-,"0.1468 unit decrease",[0.094-0.199],LINC01440,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,20:55641990
rs1260326-<b>C</b>,"2 x 10-16",,0.652,'-,"8.22 z score increase",NR,GCKR,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,2:27508073
rs2683616-<b>A</b>,"5 x 10-10",,0.624,'-,"6.22 z score increase",NR,"ACTG1P22, VRK2","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,2:57808420
rs12639940-<b>A</b>,"3 x 10-9",,0.613,'-,"5.93 z score increase",NR,KLB,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:39419361
rs1229984-<b>C</b>,"4 x 10-133",,0.97,'-,"24.56 z score increase",NR,ADH1B,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:99318162
rs142783062-<b>?</b>,"1 x 10-22",,0.345,'-,"9.82 z score increase",NR,"ADH1B, ADH1C","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:99349804
rs13107325-<b>C</b>,"2 x 10-30",,0.937,'-,"11.45 z score increase",NR,SLC39A8,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:102267552
rs780094-<b>T</b>,"2 x 10-7",,0.40,'-,"0.0102 unit decrease",[0.0065-0.0139],GCKR,"Alcohol consumption","alcohol consumption measurement",'-,GCST004026,2:27518370
rs197273-<b>A</b>,"7 x 10-8",,0.49,'-,"0.0103 unit decrease",[0.0066-0.0140],"RN7SL423P, TANK-AS1","Alcohol consumption","alcohol consumption measurement",'-,GCST004026,2:161038152
rs11940694-<b>A</b>,"9 x 10-12",,0.42,'-,"0.0136 unit decrease",[0.0097-0.0175],KLB,"Alcohol consumption","alcohol consumption measurement",'-,GCST004026,4:39413373
rs12599112-<b>A</b>,"5 x 10-8",,NR,'-,"0.0733 unit decrease",[0.048-0.099],CDH13,"Alcohol consumption (heavy vs. light/non-drinkers)","alcohol consumption measurement",'-,GCST004027,16:82685106
rs10927848-<b>A</b>,"2 x 10-7",,NR,'-,"0.0343 unit decrease",[0.021-0.047],SLC25A34-AS1,"Alcohol consumption (heavy vs. light/non-drinkers)","alcohol consumption measurement",'-,GCST004027,1:15749411
rs182344113-<b>G</b>,"2 x 10-7",,0.002,'-,"0.168 unit increase",[0.105-0.232],"LINC01133, KCNJ10","Alcohol consumption over the past year","alcohol consumption measurement",'-,GCST004990,1:159994652
rs141973904-<b>T</b>,"4 x 10-7",,0.023,'-,"0.047 unit decrease",[0.027-0.067],"ADH1C, ADH1B","Alcohol consumption over the past year","alcohol consumption measurement",'-,GCST004990,4:99341085
rs183472573-<b>C</b>,"1 x 10-6",,0.976,'-,"0.052 unit decrease",[0.074-0.031],WNT4,"Alcohol consumption over the past year","alcohol consumption measurement",'-,GCST004990,1:22142579
rs4791735-<b>T</b>,"1 x 10-6",,0.276,'-,"0.015 unit decrease",[0.021-0.009],"CCDC42, MYH10","Alcohol consumption over the past year","alcohol consumption measurement",'-,GCST004990,17:8695689
rs8059260-<b>G</b>,"2 x 10-6",,0.16,'-,"0.017 unit decrease",[0.0092-0.0248],CLEC16A,"Alcohol consumption over the past year","alcohol consumption measurement",'-,GCST004990,16:10966294
rs61908460-<b>C</b>,"7 x 10-6",,0.925,'-,"0.5753 unit increase",[0.32-0.83],CCDC77,"Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,12:414895
rs75913810-<b>A</b>,"9 x 10-7",,0.232,'-,"0.3941 unit decrease",[0.24-0.55],CPNE5,"Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,6:36800584
rs4356720-<b>A</b>,"9 x 10-6",,0.8535,'-,"0.2929 unit decrease",[0.16-0.42],TSHZ2,"Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,20:53055771
rs12404679-<b>C</b>,"4 x 10-7",,0.937,'-,"0.7003 unit increase",[0.43-0.97],SLC2A1-AS1,"Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,1:42992787
rs10916143-<b>A</b>,"8 x 10-7",,0.6305,'-,"0.2458 unit decrease",[0.15-0.34],LINC01641,"Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,1:227427047
rs35769988-<b>A</b>,"9 x 10-6",,0.4075,'-,"0.2141 unit decrease",[0.12-0.31],IGFBP7,"Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,4:57050723
rs6951271-<b>A</b>,"6 x 10-6",,0.645,'-,"0.2306 unit decrease",[0.13-0.33],"PGBD4P1, TRBV29-1","Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,7:142726593
rs551692767-<b>C</b>,"2 x 10-6",,0.277,'-,"0.3431 unit increase",[0.2-0.49],LAMC3,"Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,9:131051366
rs2837900-<b>C</b>,"6 x 10-6",,0.555,'-,"0.3101 unit increase",[0.18-0.44],'-,"Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,21:41014748
rs2895596-<b>A</b>,"3 x 10-6",,0.181,'-,"0.2863 unit decrease",[0.17-0.41],FRMD4A,"Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,10:14224086
rs149212747-<b>A</b>,"2 x 10-12",,0.9104,'-,"0.5885 unit increase",[0.43-0.75],LINC02356,"Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,GCST005441,12:111398968
rs114026228-<b>C</b>,"4 x 10-13",(men),0.005,'-,"0.032 unit decrease",[0.024-0.04],TSPAN5,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:98646767
rs145452708-<b>C</b>,"4 x 10-13",(men),0.01,'-,"0.031 unit decrease",[0.023-0.039],ADH1B,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:99327485
rs28712821-<b>A</b>,"7 x 10-11",(men),0.4,'-,"0.029 unit decrease",[0.021-0.037],KLB,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:39412160
rs29001570-<b>C</b>,"1 x 10-10",(men),0.006,'-,"0.028 unit decrease",[0.02-0.036],ADH5,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:99073254
rs140089781-<b>A</b>,"4 x 10-8",(men),0.001,'-,"0.024 unit decrease",[0.016-0.032],CTNNA2,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,2:79852585
rs145452708-<b>C</b>,"3 x 10-19",(women),0.01,'-,"0.037 unit decrease",[0.029-0.045],ADH1B,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:99327485
rs144198753-<b>T</b>,"5 x 10-16",(women),0.008,'-,"0.033 unit decrease",[0.025-0.041],"BTF3P13, EIF4E","Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:98792199
rs11127048-<b>G</b>,"1 x 10-16",(women),0.38,'-,"0.035 unit decrease",[0.027-0.043],"GCKR, C2orf16","Alcohol consumption","alcohol consumption measurement",'-,GCST004886,2:27529596
rs11940694-<b>A</b>,"9 x 10-10",(women),0.39,'-,"0.026 unit decrease",[0.018-0.034],KLB,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:39413373
rs29001570-<b>C</b>,"1 x 10-9",(women),0.006,'-,"0.025 unit decrease",[0.017-0.033],ADH5,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:99073254
rs1376935-<b>A</b>,"4 x 10-10",(women),0.32,'-,"0.026 unit increase",[0.018-0.034],CADM2,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,3:85187275
rs67028245-<b>A</b>,"4 x 10-8",(women),0.4,'-,"0.023 unit decrease",[0.015-0.031],CADM2,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,3:85345622
rs145452708-<b>C</b>,"1 x 10-30",,0.01,'-,"0.034 unit decrease",[0.028-0.04],ADH1B,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:99327485
rs193099203-<b>T</b>,"4 x 10-25",,0.007,'-,"0.031 unit decrease",[0.025-0.037],"TSPAN5, BTF3P13","Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:98708866
rs1260326-<b>T</b>,"1 x 10-21",,0.39,'-,"0.028 unit decrease",[0.022-0.034],GCKR,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,2:27508073
rs11940694-<b>A</b>,"8 x 10-19",,0.39,'-,"0.027 unit decrease",[0.021-0.033],KLB,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:39413373
rs29001570-<b>C</b>,"1 x 10-18",,0.006,'-,"0.026 unit decrease",[0.02-0.032],ADH5,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:99073254
rs9841829-<b>G</b>,"3 x 10-10",,0.23,'-,"0.019 unit increase",[0.013-0.025],CADM2,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,3:85520211
rs35081954-<b>CTG</b>,"2 x 10-9",,0.42,'-,"0.018 unit increase",[0.012-0.024],"ADH1C, ADH1B","Alcohol consumption","alcohol consumption measurement",'-,GCST004886,4:99349662
chr18:72124965-<b>CCTCCCG</b>,"2 x 10-8",,0.05,'-,"0.017 unit increase",[0.011-0.023],'-,"Alcohol consumption","alcohol consumption measurement",'-,GCST004886,"Mapping not available"
rs145452708-<b>C</b>,"1 x 10-30",,0.01,'-,"0.035 unit decrease",[0.029-0.041],ADH1B,"Alcohol consumption in current drinkers","alcohol consumption measurement",'-,GCST004887,4:99327485
rs193099203-<b>T</b>,"3 x 10-25",,0.007,'-,"0.032 unit decrease",[0.026-0.038],"TSPAN5, BTF3P13","Alcohol consumption in current drinkers","alcohol consumption measurement",'-,GCST004887,4:98708866
rs11940694-<b>A</b>,"6 x 10-18",,0.39,'-,"0.027 unit decrease",[0.021-0.033],KLB,"Alcohol consumption in current drinkers","alcohol consumption measurement",'-,GCST004887,4:39413373
rs29001570-<b>C</b>,"1 x 10-16",,0.006,'-,"0.025 unit decrease",[0.019-0.031],ADH5,"Alcohol consumption in current drinkers","alcohol consumption measurement",'-,GCST004887,4:99073254
rs2298755-<b>G</b>,"1 x 10-9",,0.41,'-,"0.019 unit increase",[0.013-0.025],"ADH1B, ADH1C","Alcohol consumption in current drinkers","alcohol consumption measurement",'-,GCST004887,4:99339881
rs1260326-<b>G</b>,"7 x 10-24",,0.38,'-,"0.03 unit decrease",[0.024-0.036],GCKR,"Alcohol consumption in current drinkers","alcohol consumption measurement",'-,GCST004887,2:27508073
rs13078384-<b>A</b>,"2 x 10-9",,0.31,'-,"0.018 unit increase",[0.012-0.024],CADM2,"Alcohol consumption in current drinkers","alcohol consumption measurement",'-,GCST004887,3:85215116
rs8012947-<b>A</b>,"4 x 10-8",,0.28,'-,"0.017 unit increase",[0.011-0.023],ARID4A,"Alcohol consumption in current drinkers","alcohol consumption measurement",'-,GCST004887,14:58317737
rs1872552-<b>A</b>,"3 x 10-11",,0.399,'-,"0.0172 unit increase",[0.012-0.022],CADM2,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,3:84999937
rs1894071-<b>G</b>,"4 x 10-8",,0.857,'-,"0.0199 unit increase",[0.013-0.027],"LINC02151, LINC02703","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,11:116202950
rs199528-<b>T</b>,"5 x 10-21",,0.223,'-,"0.0286 unit decrease",[0.023-0.035],WNT3,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,17:46765770
rs2469933-<b>A</b>,"2 x 10-22",,0.225,'-,"0.0295 unit decrease",[0.024-0.035],KANSL1,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,17:46208165
rs28712821-<b>A</b>,"2 x 10-42",,0.608,'-,"0.0355 unit increase",[0.03-0.041],KLB,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,4:39412160
rs28929474-<b>T</b>,"2 x 10-11",,0.0198,'-,"0.0568 unit decrease",[0.04-0.073],SERPINA1,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,14:94378610
rs3886141-<b>C</b>,"2 x 10-8",,0.409,'-,"0.0145 unit decrease",[0.0094-0.0196],"RWDD3, LINC01760","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,1:95265032
rs4233567-<b>T</b>,"9 x 10-10",,0.364,'-,"0.0161 unit decrease",[0.011-0.021],ARHGAP15,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,2:143514807
rs4309187-<b>C</b>,"1 x 10-11",,0.684,'-,"0.0185 unit increase",[0.013-0.024],"DRD2, TMPRSS5","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,11:113541721
rs4743009-<b>A</b>,"7 x 10-9",,0.201,'-,"0.0183 unit decrease",[0.012-0.025],LINC01505,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,9:106567955
rs4756121-<b>C</b>,"6 x 10-11",,0.688,'-,"0.0179 unit increase",[0.013-0.023],CSTF3-DT,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,11:33182613
rs4788084-<b>T</b>,"2 x 10-8",,0.418,'-,"0.0134 unit decrease",[0.0087-0.0181],"NUPR1, IL27","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,16:28528527
rs528301-<b>A</b>,"7 x 10-17",,0.553,'-,"0.0213 unit increase",[0.016-0.026],LINC01833,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,2:44927769
rs55932213-<b>G</b>,"1 x 10-8",,0.746,'-,"0.0165 unit increase",[0.011-0.022],LINC01505,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,9:105993341
rs57044214-<b>A</b>,"3 x 10-9",,0.284,'-,"0.0166 unit increase",[0.011-0.022],ARID4A,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,14:58367191
rs61734341-<b>C</b>,"1 x 10-8",,0.0598,'-,"0.0285 unit decrease",[0.019-0.038],BPIFB2,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,20:33019745
rs61873510-<b>T</b>,"7 x 10-9",,0.326,'-,"0.0157 unit decrease",[0.01-0.021],"Y_RNA, PAX2","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,10:100866753
rs62055691-<b>C</b>,"2 x 10-23",,0.225,'-,"0.0303 unit decrease",[0.024-0.036],LINC02210-CRHR1,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,17:45677484
rs62092069-<b>A</b>,"2 x 10-8",,0.373,'-,"0.0148 unit increase",[0.0097-0.0199],"RIT2, SYT4","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,18:43155566
rs62217022-<b>G</b>,"1 x 10-8",,0.396,'-,"0.0148 unit decrease",[0.0097-0.0199],DTD1,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,20:18712436
rs6780346-<b>T</b>,"1 x 10-10",,0.621,'-,"0.0168 unit decrease",[0.012-0.022],CADM2,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,3:85544434
rs6969458-<b>A</b>,"2 x 10-11",,0.466,'-,"0.017 unit increase",[0.012-0.022],"PAXBP1P1, DPP6","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,7:153792640
rs6978841-<b>A</b>,"2 x 10-8",,0.184,'-,"0.0183 unit decrease",[0.012-0.025],AUTS2,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,7:70328394
rs75120545-<b>T</b>,"6 x 10-9",,0.0302,'-,"0.043 unit decrease",[0.028-0.058],"LRPPRC, RNU6-566P","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,2:44044357
rs780569-<b>A</b>,"8 x 10-9",,0.708,'-,"0.0161 unit decrease",[0.011-0.022],"LINC01777, LINC01646","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,1:4509376
rs9607812-<b>A</b>,"7 x 10-10",,0.187,'-,"0.02 unit decrease",[0.014-0.026],"CSDC2, POLR3H","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,22:41545239
rs962961-<b>T</b>,"4 x 10-9",,0.326,'-,"0.0159 unit decrease",[0.011-0.021],"OTX2-AS1, OTX2","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,14:56814436
rs10753661-<b>A</b>,"8 x 10-9",,0.684,'-,"0.0157 unit decrease",[0.01-0.021],"LMX1A, RNU6-755P","Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,1:165150555
rs10790449-<b>C</b>,"7 x 10-9",,0.465,'-,"0.0147 unit increase",[0.0097-0.0197],SORL1,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,11:121630697
rs1104608-<b>C</b>,"2 x 10-10",,0.426,'-,"0.0163 unit decrease",[0.011-0.021],ZFHX3,"Alcohol consumption (drinks per week)","alcohol consumption measurement",'-,GCST008811,16:73878689
