ORPHA-NET #,Disease or group of diseases,"Prevalence (per 100,000)a,b",Mode of inheritancec,Known causative genes,Majority gene (with # of causative nonsense/mis-sense mutations),Encoded protein name,UNIPROT number,Protein class,% cases caused by majority gene,References,Majority Gene (alone)
145,Hereditary breast and ovarian cancer syndrome,25*,Dominant,14 different genes linked to this disorder so far.,BRCA1 (1262),Breast cancer type 1 susceptibility protein,P38398,E3 ubiquitin-protein ligase,0.66,122,BRCA1
469,Hereditary fructose intolerance/Fructosemia,5.0*,Recessive,ALDOB,ALDOB (32),"Aldolase, fructose-bisphosphate B",P05062,Enzyme,1.00,123,ALDOB
"3,467",Hereditary xanthinuria/Xanthine stone disease,9.05* (I),Recessive,MOCOS; XDH,MOCOS (8); XDH (17),"Molybdenum cofactor sulfurase, xanthine dehydrogenase","Q9C5X8, P47989",Enzymes,0.00,124,MOCOS
"238,468",Hypohidrotic ectodermal dysplasia (HED),6.7*,X-linked,"10 different genes linked to this disorder, so far.",EDA (199),Ectodysplasin A,Q92838,Cytokine,0.70,125-132,EDA
"42,062",Iminoglycinuria,6.68*,Recessive,SLC36A2; SLC6A18; SLC6A19; SLC6A20,SLC36A2 (1),Solute carrier family 36 member 2,Q495M3,Membrane transporter,1.00,133,SLC36A2
524,"Li-Fraumeni syndrome sarcoma, breast, leukemia, and adrenal gland (SBLA) syndrome",6,Dominant,CDKN2A; CHEK2; MDM2; TP53,TP53 (417),Tumor protein p53,P04637,"Tumor suppressor, gene regulation",0.91,134,TP53
5,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency (LCHAD),8.0*,Recessive,HADHA,HADHA (35),Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,P40939,Enzyme,1.00,135,HADHA
144,Lynch syndrome,125,Dominant,11 different genes linked to this disorder so far,MSH2 (34),DNA mismatch repair protein Msh2,P43246,"DNA repair, binds DNA, ATPase",0.20,136,MSH2
558,Marfan syndrome,15,Dominant,FBN1; TGFBR2,FBN1 (1893),Fibrillin 1,P35555,"Structural protein, extracellular matrix",0.90,137-139,FBN1
"2,209",Maternal phenylketonuria/Phenylketonuric embryopathy,10.0* (I),Recessive,PAH,PAH (690),Phenylalanine hydroxylase,P00439,Enzyme,1.00,140,PAH
42,Medium chain acyl-CoA dehydrogenase deficiency (MCADD),"6.85, 12.0*",Recessive,ACADM,ACADM (136),Acyl-CoA dehydrogenase medium chain,P11310,Enzyme,1.00,141,ACADM
"423,461",Mucolipidosis type III (ML3) alpha/beta,13,Recessive,GNPTAB,GNPTAB (68),"N-acetylglucosamine 1 phosphate transferase, Subunits alpha and beta",Q3T906,Enzyme,1.00,142,GNPTAB
"309,297",Mucopolysaccharidosis type 4A (MPS4A)/Morquio disease type A,15.0*,Recessive,GALNS,GALNS (269),Galactosamine (N-acetyl)-6-sulfatase,P34059,Enzyme,1.00,143,GALNS
653,Multiple endocrine neoplasia type 2,7,Dominant,RET,RET (130),Ret proto-oncogene receptor tyrosine kinase,P07949,Receptor tyrosine kinase,1.00,144,RET
251,Multiple epiphyseal dysplasia (MED),5.0*,Dominant (most often) or recessive,COL2A1; COL9A1; COL9A2; COL9A3/collagen type IX alpha 3 chain; COMP; KIF7; MATN3; SLC26A2,COMP (155),Cartilage oligomeric matrix protein,P49747,Structural protein,0.81,145-148,COMP
636,Neurofibromatosis type 1 (NF1)/Von Recklinghausen disease,"21.3*, 33.3",Dominant,NF1,NF1 (1208),Neurofibromin 1,P21359,Regulator of Ras GTPase activity,1.00,149,NF1
55,Oculocutaneous albinism (OCA),5.9,Recessive,LRMDA; MC1R; OCA2; SLC24A5; SLC45A2; TYR; TYRP1,TYR (352),Tyrosinase,P14679,Enzyme,0.50,150-153,TYR
666,Osteogenesis imperfecta/brittle bone disease,10.0*,Dominant,"15 different genes linked to this disorder, so far.",COL1A1 (547); COL1A2 (466),"Collagen type I alpha 1 chain, collagen type I alpha 2 chain","P02452, P08123",Structural protein,0.85,154-157,COL1A1
705,Pendred syndrome (PDS)/Deafness with goiter,7.0*,Recessive,FOXI1; KCNJ10; SLC26A4,SLC26A4 (404),Solute carrier family 26 member 4,O43511,Membrane transporter,0.90,158-166,SLC26A4
716,Phenylketonuria (PKU)/Phenylalanine hydroxylase deficiency (PAH deficiency),10.0*,Recessive,PAH,PAH (690),Phenylalanine hydroxylase,P00439,Enzyme,1.00,167,PAH
70,Proximal spinal muscular atrophy (SMA),20.0*,Recessive,NAIP; SMN1; SMN2,SMN1 (47),Survival motor neuron protein,Q16637,RNA splicing,1.00,168-175,SMN1
791,Retinitis Pigmentosa (RP),26.7,"Dominant (most often), recessive or X-linked","82 different genes linked to this disorder, so far.",RHO (204),Rhodopsin,P08100,G-protein coupled receptor,0.20,176-179,RHO
461,Recessive X-linked ichthyosis (XLI),16.6*,X-linked,STS,STS (28),Steroid sulfatase,P08842,Enzyme,1.00,180,STS
790,Retinoblastoma (RB bilateral (40% of cases) and unilateral (60% of cases—de novo mutation),6,Dominant,NMYC; RB1,RB1 (292),RB transcriptional corepressor 1,P06400,"Tumor suppressor, cell cycle regulation",0.98,181,RB1
778,Rett syndrome,10.0*,X-linked,MECP2,MECP2 (246),Methyl-CpG binding protein 2,P51608,"Binds to methylated DNA, gene regulation",0.90,182-184,MECP2
232,Sickle cell anemia,10.0*,Recessive,HBB,HBB (433),Hemoglobin subunit beta,P68871,Oxygen carrier,1.00,185,HBB
821,Sotos syndrome/cerebral gigantism,7.1,Dominant,APC2; NSD1; SETD2,NSD1 (228),Nuclear receptor binding SET domain protein 1,Q96L73,Enzyme,0.95,186-190,NSD1
827,Stargardt disease/Fundus flavimaculatus,13.0*,Recessive,ABCA4; CNGB3; ELOVL4; PROM1; PRPH2,ABCA4 (789),ATP binding cassette subfamily A member 4,P78363,Membrane transporter,0.95,191-193,ABCA4
828,Stickler syndrome/ hereditary progressive arthroophthalmopathy,12.2,Dominant (most often) or recessive,COL11A1; COL2A1; COL11A2; COL9A1; COL9A2; COL9A3; LOXL3,COL2A1 (335),Collagen type II alpha 1 chain,P02458,Structural protein,0.80,194-196,COL2A1
"3,193",Supravalvular aortic stenosis (SVAS),13.3*,Dominant,ELN,ELN (25),Elastin,P15502,Structural protien,1.00,197,ELN
848,β-Thalassemia,"1,500",Dominant or recessive,HBB,HBB (434),Hemoglobin B chain,P68871,Oxygen carrier,1.00,198,HBB
609,Tibial muscular dystrophy/Upp myopathy,6.0*,Dominant,TTN,TTN (53),Titin,Q8WZ42,Muscle protein,1.00,199,TTN
805,Tuberous sclerosis complex/Bourneville syndrome,10.0*,Dominant,TSC1; TSC2,TSC2 (518),Tuberin,P49815,"Tumor suppressor, Regulation of mTORC1 signaling",0.69,200-205,TSC2
892,Von-Hippel Lindau disease,6,Dominant,VHL,VHL (218),Von Hippel–Lindau tumor suppressor,P40337,"Tumor suppressor, role in E3 ubiquitin ligase complex",1.00,206,VHL
903,Von Willebrand disease,12.5,Dominant (most often) or recessive,VWF,VWF (636),Von Willebrand factor,P04275,"Collagen binding, chaperone for coagulation factor VIII",1.00,207,VWF
43,X-linked adrenoleukodystrophy (ALD),5,X-linked,ABCD1,ABCD1 (425),ATP binding cassette subfamily D member 1,P33897,Membrane transporter,1.00,208,ABCD1
792,X-linked retinoschisis (XLRS),5,X-linked,RS1,RS1 (203),Retinoschisin 1,O15537,"Membrane binding, cell–cell adhesion",1.00,209,RS1
