"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs4571247-<b>G</b>,"6 x 10-6",(EA),'-,'-,"1.25 unit decrease",'-,"ICE2P2, GAPDHP50","Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008273,3:89017438
rs11656155-<b>T</b>,"6 x 10-6",(EA),'-,'-,"0.91 unit increase",'-,"CA10, LINC02073","Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008273,17:51593949
rs7041938-<b>G</b>,"7 x 10-6",(EA),'-,'-,"1.14 unit increase",'-,TXNDC8,"Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008273,9:110329243
rs10039526-<b>?</b>,"2 x 10-6",(AA),NR,13.42,'-,[11.97-14.87],RNU6-500P,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,5:173417413
rs10046574-<b>?</b>,"8 x 10-8",(AA),NR,17.77,'-,[16.03-19.51],CNOT4,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,7:135485722
rs10063408-<b>G</b>,"4 x 10-6",(EA),0.28,2.83,'-,[2.38-3.28],RNU6-164P,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,5:162570484
rs10115371-<b>?</b>,"6 x 10-6",(AA),NR,5.92,'-,[5.08-6.76],RN7SKP242,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,9:83195995
rs10129758-<b>?</b>,"4 x 10-6",(AA),NR,5.48,'-,[4.52-6.44],TXNDC16,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,14:52494930
rs10134584-<b>?</b>,"7 x 10-6",(AA),NR,5.23,'-,[4.27-6.19],GPR137C,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,14:52566430
rs10196592-<b>?</b>,"3 x 10-6",(AA),NR,46.63,'-,[43.42-49.84],"LINC01866, RN7SKP168","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,2:17035808
rs1027896-<b>?</b>,"6 x 10-6",(AA),NR,20.58,'-,[18.38-22.78],HIVEP2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,6:142675995
rs10421078-<b>?</b>,"3 x 10-6",(AA),NR,26.09,'-,[24.07-28.11],"ACER1, CLPP","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,19:6340452
rs10428206-<b>?</b>,"1 x 10-6",(AA),NR,29.8,'-,[27.35-32.25],CNTN3,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,3:74485377
rs10467515-<b>?</b>,"1 x 10-6",(AA),NR,35.43,'-,[33.27-37.59],PCDH8,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,13:52927172
rs10484876-<b>?</b>,"1 x 10-7",(AA),NR,45.75,'-,[43.26-48.24],"PAQR8, EFHC1","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,6:52389351
rs10491083-<b>?</b>,"5 x 10-6",(EA),NR,5.27,'-,[4.39-6.15],C17orf100,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,17:6655238
rs10507495-<b>?</b>,"3 x 10-6",(AA),NR,13.68,'-,[11.99-15.37],VWA8,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,13:41720261
rs10508336-<b>?</b>,"3 x 10-6",(AA),NR,49.17,'-,[46.39-51.95],TAF3,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:7834867
rs10508774-<b>?</b>,"2 x 10-6",(AA),NR,11.55,'-,[10.2-12.9],CCDC7,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:32518933
rs10979314-<b>?</b>,"1 x 10-8",(AA),NR,347.3,'-,[339.5-355.1],'-,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,9:108310149
rs11012350-<b>?</b>,"2 x 10-6",(AA),NR,5.11,'-,[4.09-6.13],SLC39A12,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:18043063
rs11039100-<b>?</b>,"1 x 10-6",(AA),NR,71.94,'-,[68.37-75.51],TRIM5,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,11:5805773
rs11077983-<b>?</b>,"6 x 10-7",(AA),NR,5.3,'-,[4.42-6.18],SLC16A3,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,17:82227312
rs11190074-<b>G</b>,"9 x 10-8",(AA),0.09,7.36,'-,[6.14-8.58],CNNM1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:99361961
rs11202287-<b>G</b>,"9 x 10-6",(EA),0.11,4.31,'-,[3.6-5.02],"BMS1P3, ADIRF","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:86985503
rs11206019-<b>?</b>,"5 x 10-8",(AA),NR,43.78,'-,[41.13-46.43],ZYG11B,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:52794278
rs11209878-<b>?</b>,"2 x 10-6",(AA),NR,6,'-,[4.61-7.39],NEGR1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:71978445
rs11220138-<b>?</b>,"1 x 10-6",(AA),NR,31.08,'-,[28.75-33.41],FEZ1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,11:125585927
rs17130391-<b>?</b>,"7 x 10-6",(AA),NR,19.63,'-,[17.73-21.53],LINC01374,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:90100843
rs17143122-<b>?</b>,"2 x 10-7",(AA),NR,807.55,'-,[796.4-818.7],RBFOX1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,16:7259990
rs17307778-<b>?</b>,"5 x 10-6",(AA),NR,17.81,'-,[15.65-19.97],'-,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,11:25271868
rs1735894-<b>?</b>,"2 x 10-6",(AA),NR,5.39,'-,[4.47-6.31],RPS3AP1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,21:20442526
rs17391705-<b>?</b>,"2 x 10-6",(AA),NR,50.12,'-,[47.53-52.71],MCTP1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,5:94785742
rs17429538-<b>?</b>,"6 x 10-6",(AA),NR,37.08,'-,[34.77-39.39],SPATA13,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,13:24053479
rs17725600-<b>?</b>,"6 x 10-6",(AA),NR,12.73,'-,[11.06-14.4],ABCE1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,4:145106282
rs1786426-<b>?</b>,"7 x 10-6",(AA),NR,5.08,'-,[3.96-6.2],RPS3AP1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,21:20439734
rs1798817-<b>?</b>,"9 x 10-6",(AA),NR,4.89,'-,[3.89-5.89],LINC00944,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,12:126754515
rs1832987-<b>?</b>,"6 x 10-6",(AA),NR,47.27,'-,[44.02-50.52],RIMS1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,6:71906732
rs1846413-<b>?</b>,"2 x 10-6",(AA),NR,5.18,'-,[4.14-6.22],PKN2-AS1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:88406413
rs1912124-<b>?</b>,"2 x 10-6",(AA),NR,118.9,'-,[115.08-122.72],IL16,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,15:81206630
rs1960306-<b>?</b>,"3 x 10-6",(AA),NR,5.15,'-,[4.11-6.19],PKN2-AS1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:88427280
rs2056389-<b>?</b>,"2 x 10-6",(AA),NR,10.39,'-,[9.16-11.62],"LINC02631, SPOPL","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,2:138575117
rs2073300-<b>?</b>,"4 x 10-7",(AA),NR,12.35,'-,[10.45-14.25],"CST12P, CST8","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,20:23491044
rs2161719-<b>G</b>,"3 x 10-6",(AA),0.18,5.76,'-,[NR],WWOX,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,16:78771303
rs225872-<b>?</b>,"6 x 10-6",(AA),NR,23.61,'-,[21.3-25.92],PRKD1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,14:30103947
rs2281558-<b>?</b>,"4 x 10-6",(AA),NR,4.64,'-,[3.88-5.4],PYGB,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,20:25259553
rs2282231-<b>G</b>,"2 x 10-6",(EA),0.22,3.07,'-,[2.58-3.56],MACF1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:39103899
rs2296172-<b>G</b>,"1 x 10-6",(EA),0.22,3.08,'-,[2.61-3.55],MACF1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:39370145
rs234284-<b>?</b>,"2 x 10-6",(AA),NR,17.97,'-,[16.38-19.56],ACSM3,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,16:20753584
rs242423-<b>?</b>,"2 x 10-6",(AA),NR,6.72,'-,[5.54-7.9],PELI2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,14:56139832
rs2431703-<b>?</b>,"3 x 10-6",(AA),NR,23.46,'-,[21.03-25.89],'-,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,5:129244131
rs2479587-<b>C</b>,"2 x 10-6",(EA),0.07,7.07,'-,[6.13-8.01],"ZNF169, NUTM2F","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,9:94310365
rs256811-<b>?</b>,"5 x 10-6",(AA),0.11,3.87,'-,[3.11-4.63],ST13P12,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,5:82964202
rs6678735-<b>?</b>,"6 x 10-6",(AA),NR,5.76,'-,[4.41-7.11],NEGR1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:71997450
rs6698723-<b>?</b>,"1 x 10-6",(AA),NR,4.82,'-,[3.96-5.68],PKN2-AS1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:88400462
rs6748245-<b>?</b>,"2 x 10-6",(AA),NR,51.1,'-,[48.43-53.77],"MBD5, RPS29P8","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,2:148525197
rs6879255-<b>G</b>,"8 x 10-6",,0.29,'-,'-,'-,'-,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,5:162592892
rs6909762-<b>?</b>,"2 x 10-6",(AA),NR,57.27,'-,[53.98-60.56],"SLC17A2, TRIM38","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,6:25961816
rs6957127-<b>?</b>,"9 x 10-6",(AA),NR,10.31,'-,[8.74-11.88],FERD3L,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,7:25488685
rs7022762-<b>?</b>,"5 x 10-7",(AA),NR,17.57,'-,[16.1-19.04],CHCHD4P2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,9:108091224
rs7046999-<b>?</b>,"1 x 10-6",(AA),NR,6.15,'-,[4.93-7.37],CHCHD4P2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,9:108103777
rs710913-<b>G</b>,"7 x 10-6",,0.36,'-,'-,'-,"BMP8A, PPIEL","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:39524254
rs720844-<b>?</b>,"3 x 10-6",(AA),NR,4.33,'-,[3.59-5.07],"RPS29P8, MBD5","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,2:148592559
rs7295749-<b>?</b>,"5 x 10-6",(AA),NR,4.45,'-,[3.47-5.43],ITPR2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,12:26805390
rs736088-<b>?</b>,"5 x 10-7",(AA),NR,67.2,'-,[63.89-70.51],"H2BP5, SLC17A2","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,6:25896941
rs7448169-<b>G</b>,"4 x 10-6",,0.45,'-,'-,'-,'-,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,5:99822275
rs750723-<b>?</b>,"2 x 10-6",(AA),NR,120.26,'-,[110.77-129.75],EPB41L4B,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,9:109259305
rs755249-<b>G</b>,"2 x 10-8",(EA),0.24,3.45,'-,[3-3.9],"BMP8A, PPIEL","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:39529402
rs7787478-<b>G</b>,"2 x 10-7",(AA),0.13,7.92,'-,[6.8-9.04],RN7SKP104,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,7:97601785
rs7860288-<b>?</b>,"5 x 10-7",(AA),NR,17.57,'-,[16.1-19.04],CHCHD4P2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,9:108090106
rs7982202-<b>?</b>,"9 x 10-6",(AA),NR,6.73,'-,[5.36-8.1],"SERP2, SMIM2-AS1","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,13:44298486
rs8020981-<b>?</b>,"7 x 10-6",(AA),NR,13.71,'-,[11.59-15.83],"MIR4710, LINC02280","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,14:104670444
rs8073525-<b>?</b>,"8 x 10-6",(AA),NR,14.1,'-,[12.38-15.82],TANC2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,17:63399156
rs8121203-<b>?</b>,"2 x 10-6",(AA),NR,27.57,'-,[25.47-29.67],MACROD2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,20:15077118
rs9304301-<b>?</b>,"4 x 10-6",(AA),NR,18.99,'-,[17.15-20.83],LINC01478,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,18:44183427
rs9356334-<b>?</b>,"7 x 10-7",(AA),NR,87.33,'-,[83.21-91.45],'-,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,6:165000406
rs9367486-<b>?</b>,"5 x 10-7",(AA),NR,46.78,'-,[44.17-49.39],"TRAM2, EFHC1","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,6:52498567
rs9382099-<b>?</b>,"8 x 10-6",(AA),NR,25.29,'-,[22.86-27.72],"PAQR8, MCM3","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,6:52355995
rs11466653-<b>?</b>,"2 x 10-7",(AA),NR,78.65,'-,[69.73-87.57],TLR10,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,4:38774614
rs11512640-<b>?</b>,"9 x 10-7",(AA),NR,30.22,'-,[27.91-32.53],FEZ1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,11:125556427
rs11596966-<b>?</b>,"6 x 10-6",(AA),NR,78.49,'-,[75.39-81.59],LINC02662,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:2173318
rs11605275-<b>?</b>,"9 x 10-6",(AA),NR,6.16,'-,[4.89-7.43],NAV2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,11:20010319
rs11622263-<b>?</b>,"4 x 10-6",(AA),NR,194.87,'-,[185.78-203.96],MEG3,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,14:100814324
rs11771793-<b>?</b>,"3 x 10-6",(AA),NR,4.64,'-,[3.88-5.4],Y_RNA,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,7:156149492
rs9784649-<b>?</b>,"8 x 10-6",(AA),NR,14.32,'-,[12.85-15.79],LINC02228,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,5:25011415
rs9824246-<b>?</b>,"6 x 10-7",(AA),NR,6.2,'-,[5.18-7.22],PPP4R2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,3:73053574
rs9940555-<b>G</b>,"4 x 10-8",(AA),0.17,7.72,'-,[6.72-8.72],NSMCE1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,16:27259286
rs11819158-<b>?</b>,"1 x 10-6",(AA),NR,8.05,'-,[6.5-9.6],GOT1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:99418299
rs11827555-<b>?</b>,"4 x 10-6",(AA),NR,4.84,'-,[3.74-5.94],NTM,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,11:131855008
rs11942139-<b>?</b>,"7 x 10-7",(AA),NR,20.86,'-,[18.88-22.84],PPP2R2C,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,4:6429357
rs11971803-<b>?</b>,"9 x 10-6",(AA),NR,5.57,'-,[4.53-6.61],AP5Z1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,7:4792567
rs11990843-<b>?</b>,"5 x 10-6",(AA),NR,5.26,'-,[4.32-6.2],'-,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,8:5798244
rs12024301-<b>G</b>,"8 x 10-6",(AA),0.07,5.05,'-,[3.93-6.17],RGL1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:183774464
rs12024301-<b>G</b>,"5 x 10-6",,0.05,'-,'-,'-,RGL1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:183774464
rs12038357-<b>?</b>,"9 x 10-6",(AA),NR,33.51,'-,[31.33-35.69],'-,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:34519204
rs12056645-<b>?</b>,"4 x 10-6",(AA),NR,5.18,'-,[4.3-6.06],ZFHX4-AS1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,8:76560940
rs12175863-<b>?</b>,"5 x 10-6",(AA),NR,23.28,'-,[20.79-25.77],AKAP12,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,6:151262834
rs12195741-<b>G</b>,"6 x 10-6",(EA),0.31,2.5,'-,[NR],ESR1,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,6:151733239
rs12257301-<b>?</b>,"1 x 10-6",(AA),NR,6.19,'-,[5.31-7.07],OPN4,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:86655778
rs12335314-<b>?</b>,"5 x 10-8",(AA),NR,5.91,'-,[4.54-7.28],"NDUFB9, MTSS1","Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,8:124550784
rs12445943-<b>?</b>,"8 x 10-7",(AA),NR,6.26,'-,[5.36-7.16],WWOX,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,16:78775175
rs1250309-<b>?</b>,"7 x 10-6",(AA),NR,10.35,'-,[9.12-11.58],LINC02664,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:31194503
rs12704294-<b>?</b>,"4 x 10-6",(AA),NR,6698.82,'-,[6680.96-6716.68],GRM3,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,7:86856995
rs12777098-<b>?</b>,"6 x 10-6",(AA),NR,19.14,'-,[17.14-21.14],FRMD4A,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,10:13872363
rs13147122-<b>?</b>,"3 x 10-6",(AA),NR,25.73,'-,[23.4-28.06],LRBA,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,4:150740962
rs1317681-<b>G</b>,"2 x 10-6",(EA),0.17,3.57,'-,[3-4.14],TGFB2,"Peripheral arterial disease (traffic-related air pollution interaction)","peripheral arterial disease, traffic air pollution measurement",'-,GCST004482,1:218401860
