"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs1893217-<b>G</b>,"3 x 10-10",,0.17,1.17,'-,[1.12-1.23],PTPN2,"Celiac disease","celiac disease",'-,GCST000612,18:12809341
rs9792269-<b>?</b>,"3 x 10-9",,0.76,1.14,'-,[1.10-1.19],RN7SKP226,"Celiac disease","celiac disease",'-,GCST000612,8:128252343
rs12928822-<b>?</b>,"3 x 10-8",,0.84,1.16,'-,[1.10-1.22],RMI2,"Celiac disease","celiac disease",'-,GCST000612,16:11310036
rs2816316-<b>?</b>,"2 x 10-17",,0.84,1.25,'-,[1.19-1.32],RGS1,"Celiac disease","celiac disease",'-,GCST000612,1:192567683
rs3748816-<b>?</b>,"3 x 10-9",,0.66,1.12,'-,[1.09-1.18],MMEL1,"Celiac disease","celiac disease",'-,GCST000612,1:2595307
rs10903122-<b>?</b>,"2 x 10-10",,0.52,1.12,'-,[1.09-1.18],"RUNX3, MIR4425","Celiac disease","celiac disease",'-,GCST000612,1:24977085
rs4899260-<b>A</b>,"4 x 10-7",,0.26,1.12,'-,[1.07-1.16],"ZFP36L1, MAGOH3P","Celiac disease","celiac disease",'-,GCST000612,14:68811487
rs2074404-<b>?</b>,"1 x 10-6",,0.75,1.11,'-,[1.06-1.16],WNT3,"Celiac disease","celiac disease",'-,GCST000612,17:46788073
rs864537-<b>?</b>,"4 x 10-7",,0.61,1.1,'-,[1.06-1.15],CD247,"Celiac disease","celiac disease",'-,GCST000612,1:167442147
rs296547-<b>?</b>,"4 x 10-9",,0.64,1.12,'-,[1.09-1.16],MROH3P,"Celiac disease","celiac disease",'-,GCST000612,1:200923009
rs13003464-<b>G</b>,"4 x 10-13",,0.40,1.15,'-,[1.11-1.20],PUS10,"Celiac disease","celiac disease",'-,GCST000612,2:60959694
rs2327832-<b>G</b>,"4 x 10-19",,0.22,1.23,'-,[1.17-1.28],"LINC02539, BTF3L4P3","Celiac disease","celiac disease",'-,GCST000612,6:137651931
rs17035378-<b>?</b>,"8 x 10-9",,0.72,1.14,'-,[1.09-1.19],PLEK,"Celiac disease","celiac disease",'-,GCST000612,2:68371823
rs13314993-<b>C</b>,"3 x 10-9",,0.46,1.13,'-,[1.08-1.17],"GLB1, CCR4","Celiac disease","celiac disease",'-,GCST000612,3:32973977
rs11712165-<b>C</b>,"8 x 10-9",,0.39,1.13,'-,[1.08-1.17],ARHGAP31,"Celiac disease","celiac disease",'-,GCST000612,3:119399949
rs10806425-<b>A</b>,"4 x 10-10",,0.40,1.13,'-,[1.09-1.17],BACH2,"Celiac disease","celiac disease",'-,GCST000612,6:90216893
rs802734-<b>G</b>,"3 x 10-14",,0.31,1.17,'-,[1.12-1.22],"THEMIS, PTPRK","Celiac disease","celiac disease",'-,GCST000612,6:127957653
rs1250552-<b>?</b>,"9 x 10-10",,0.53,1.12,'-,[1.09-1.16],ZMIZ1,"Celiac disease","celiac disease",'-,GCST000612,10:79298270
rs11221332-<b>A</b>,"5 x 10-16",,0.24,1.21,'-,[1.16-1.27],ETS1,"Celiac disease","celiac disease",'-,GCST000612,11:128511079
rs4819388-<b>?</b>,"2 x 10-9",,0.72,1.14,'-,[1.09-1.19],ICOSLG,"Celiac disease","celiac disease",'-,GCST000612,21:44227538
rs1033180-<b>A</b>,"6 x 10-8",,0.08,1.21,'-,[1.13-1.29],"DUSP22, IRF4","Celiac disease","celiac disease",'-,GCST000612,6:383546
rs2298428-<b>A</b>,"2 x 10-7",,0.20,1.13,'-,[1.08-1.19],YDJC,"Celiac disease","celiac disease",'-,GCST000612,22:21628603
rs917997-<b>A</b>,"1 x 10-15",,0.24,1.19,'-,[1.14-1.25],"IL18RAP, SLC9A4","Celiac disease","celiac disease",'-,GCST000612,2:102454108
rs4675374-<b>A</b>,"6 x 10-9",,0.22,1.14,'-,[1.09-1.19],ICOS,"Celiac disease","celiac disease",'-,GCST000612,2:203937855
rs13098911-<b>A</b>,"3 x 10-17",,0.10,1.3,'-,[1.23-1.39],CCR3,"Celiac disease","celiac disease",'-,GCST000612,3:46193709
rs17810546-<b>G</b>,"4 x 10-28",,0.13,1.36,'-,[1.29-1.44],IL12A-AS1,"Celiac disease","celiac disease",'-,GCST000612,3:159947262
rs13151961-<b>?</b>,"2 x 10-27",,0.86,1.35,'-,[1.28-1.43],KIAA1109,"Celiac disease","celiac disease",'-,GCST000612,4:122194347
rs2187668-<b>A</b>,"1 x 10-50",,0.26,6.23,'-,[5.95-6.52],HLA-DQA1,"Celiac disease","celiac disease",'-,GCST000612,6:32638107
rs653178-<b>G</b>,"7 x 10-21",,0.50,1.2,'-,[1.15-1.24],ATXN2,"Celiac disease","celiac disease",'-,GCST000612,12:111569952
rs6691768-<b>?</b>,"1 x 10-7",,0.62,1.11,'-,[1.06-1.15],NFIA,"Celiac disease","celiac disease",'-,GCST000612,1:61326191
rs859637-<b>A</b>,"2 x 10-6",,0.49,1.1,'-,[1.06-1.14],"FASLG, SLC25A38P1","Celiac disease","celiac disease",'-,GCST000612,1:172741860
rs13010713-<b>G</b>,"5 x 10-11",,0.45,1.13,'-,[1.09-1.18],LINC01934,"Celiac disease","celiac disease",'-,GCST000612,2:181131318
rs6806528-<b>A</b>,"2 x 10-7",,0.10,1.19,'-,[1.12-1.27],FRMD4B,"Celiac disease","celiac disease",'-,GCST000612,3:69203748
rs2816316-<b>C</b>,"3 x 10-11",,NR,1.39,'-,[1.26-1.53],RGS1,"Celiac disease","celiac disease",'-,GCST000157,1:192567683
rs17810546-<b>G</b>,"1 x 10-9",,NR,1.35,'-,[1.23-1.49],IL12A-AS1,"Celiac disease","celiac disease",'-,GCST000157,3:159947262
rs1738074-<b>A</b>,"7 x 10-8",,NR,1.21,'-,[1.13-1.30],"TAGAP-AS1, TAGAP","Celiac disease","celiac disease",'-,GCST000157,6:159044945
rs1464510-<b>A</b>,"5 x 10-9",,NR,1.23,'-,[1.15-1.32],LPP,"Celiac disease","celiac disease",'-,GCST000157,3:188394766
rs6441961-<b>A</b>,"3 x 10-7",,0.30,1.21,'-,[1.13-1.30],UQCRC2P1,"Celiac disease","celiac disease",'-,GCST000157,3:46310893
rs13015714-<b>C</b>,"4 x 10-9",,NR,1.28,'-,[1.18-1.39],IL18R1,"Celiac disease","celiac disease",'-,GCST000157,2:102355405
rs653178-<b>G</b>,"8 x 10-8",,0.48,1.21,'-,[1.13-1.30],ATXN2,"Celiac disease","celiac disease",'-,GCST000157,12:111569952
rs6822844-<b>C</b>,"3 x 10-13",,0.81,1.44,'-,[1.30-1.58],IL21,"Celiac disease","celiac disease",'-,GCST000157,4:122588266
rs77778931-<b>?</b>,"2 x 10-8",,NR,'-,"0.1616 unit increase",'-,ELMO1,"Celiac disease","celiac disease",'-,GCST008489,7:37365375
rs859715-<b>?</b>,"3 x 10-8",,NR,'-,"0.1073 unit decrease",'-,"SLC25A38P1, AIMP1P2","Celiac disease","celiac disease",'-,GCST008489,1:172790982
rs59655222-<b>?</b>,"3 x 10-8",,NR,'-,"0.1137 unit increase",'-,INAVA,"Celiac disease","celiac disease",'-,GCST008489,1:200906769
rs1250557-<b>?</b>,"1 x 10-8",,NR,'-,"0.1073 unit decrease",'-,ZMIZ1,"Celiac disease","celiac disease",'-,GCST008489,10:79306017
rs45565037-<b>?</b>,"2 x 10-8",,NR,'-,"0.124 unit decrease",'-,PHLDB1,"Celiac disease","celiac disease",'-,GCST008489,11:118625403
rs4128561-<b>?</b>,"1 x 10-8",,NR,'-,"0.1053 unit increase",'-,ETS1,"Celiac disease","celiac disease",'-,GCST008489,11:128545234
rs971290-<b>?</b>,"3 x 10-8",,NR,'-,"0.1216 unit increase",'-,"ZFP36L1, MAGOH3P","Celiac disease","celiac disease",'-,GCST008489,14:68805252
rs1468788-<b>?</b>,"3 x 10-8",,NR,'-,"0.101 unit decrease",'-,SLC9A4,"Celiac disease","celiac disease",'-,GCST008489,2:102476054
rs13401064-<b>?</b>,"3 x 10-8",,NR,'-,"0.1844 unit increase",'-,STAT4,"Celiac disease","celiac disease",'-,GCST008489,2:191105604
rs45620941-<b>?</b>,"4 x 10-8",,NR,'-,"0.1284 unit increase",'-,CD28,"Celiac disease","celiac disease",'-,GCST008489,2:203735734
rs62184863-<b>?</b>,"2 x 10-8",,NR,'-,"0.204 unit increase",'-,"RNU6-474P, CTLA4","Celiac disease","celiac disease",'-,GCST008489,2:203819074
rs231804-<b>?</b>,"2 x 10-8",,NR,'-,"0.1035 unit increase",'-,"CTLA4, RNU6-474P","Celiac disease","celiac disease",'-,GCST008489,2:203843923
rs6726160-<b>?</b>,"2 x 10-8",,NR,'-,"0.1045 unit decrease",'-,NONOP2,"Celiac disease","celiac disease",'-,GCST008489,2:60937594
rs6032606-<b>?</b>,"5 x 10-8",,NR,'-,"0.2274 unit decrease",'-,ZNF335,"Celiac disease","celiac disease",'-,GCST008489,20:45967568
rs9873580-<b>?</b>,"3 x 10-8",,NR,'-,"0.1631 unit decrease",'-,IL12A-AS1,"Celiac disease","celiac disease",'-,GCST008489,3:159911578
rs2187670-<b>?</b>,"4 x 10-8",,NR,'-,"0.116 unit increase",'-,"UQCRC2P1, CCR2","Celiac disease","celiac disease",'-,GCST008489,3:46325463
rs62321692-<b>?</b>,"1 x 10-8",,NR,'-,"0.1924 unit decrease",'-,KIAA1109,"Celiac disease","celiac disease",'-,GCST008489,4:122340375
rs2069772-<b>?</b>,"1 x 10-8",,NR,'-,"0.1158 unit decrease",'-,IL2,"Celiac disease","celiac disease",'-,GCST008489,4:122451978
rs4897233-<b>?</b>,"2 x 10-8",,NR,'-,"0.1047 unit decrease",'-,THEMIS,"Celiac disease","celiac disease",'-,GCST008489,6:127835743
rs9457515-<b>?</b>,"3 x 10-8",,NR,'-,"0.1912 unit decrease",'-,C6orf99,"Celiac disease","celiac disease",'-,GCST008489,6:158913093
rs3120630-<b>?</b>,"2 x 10-8",,NR,'-,"0.1411 unit decrease",'-,"TAGAP-AS1, FNDC1","Celiac disease","celiac disease",'-,GCST008489,6:159093828
rs6691768-<b>?</b>,"2 x 10-8",,NR,'-,"0.1065 unit increase",'-,NFIA,"Celiac disease","celiac disease",'-,GCST008489,1:61326191
rs936229-<b>?</b>,"3 x 10-8",,NR,'-,"0.1109 unit increase",'-,ULK3,"Celiac disease","celiac disease",'-,GCST008489,15:74839978
rs2474619-<b>?</b>,"2 x 10-8",,NR,1.28,'-,[1.18-1.41],BACH2,"Celiac disease","celiac disease",'-,GCST002520,6:90170316
rs2157453-<b>?</b>,"8 x 10-7",,NR,1.29,'-,[1.17–1.42],AIMP1P2,"Celiac disease","celiac disease",'-,GCST002520,1:172894808
rs531930-<b>?</b>,"5 x 10-7",,NR,1.3,'-,[1.17–1.44],NKAIN2,"Celiac disease","celiac disease",'-,GCST002520,6:124422361
rs4558075-<b>?</b>,"2 x 10-7",,NR,1.37,'-,[1.22-1.54],"LINC02649, PRKCQ","Celiac disease","celiac disease",'-,GCST002520,10:6359663
rs8081319-<b>?</b>,"8 x 10-7",,NR,1.36,'-,[1.20–1.54],ACACA,"Celiac disease","celiac disease",'-,GCST002520,17:37374139
rs13096142-<b>?</b>,"4 x 10-8",,'-,1.3,'-,[1.18-1.43],CCR3,"Celiac disease","celiac disease",'-,GCST002520,3:46240253
rs13151961-<b>?</b>,"3 x 10-11",,'-,1.54,'-,[1.37-1.75],KIAA1109,"Celiac disease","celiac disease",'-,GCST002520,4:122194347
rs212402-<b>?</b>,"8 x 10-9",,'-,1.31,'-,[1.20-1.44],TAGAP-AS1,"Celiac disease","celiac disease",'-,GCST002520,6:159051263
rs4930144-<b>A</b>,"7 x 10-6",,'-,'-,'-,'-,H19,"Celiac disease","celiac disease",'-,GCST002112,11:2027258
rs12734338-<b>C</b>,"3 x 10-7",,'-,'-,'-,'-,PPP1R12B,"Celiac disease","celiac disease",'-,GCST002112,1:202500595
rs1032355-<b>C</b>,"5 x 10-6",,'-,'-,'-,'-,MTTP,"Celiac disease","celiac disease",'-,GCST002112,4:99618739
rs2605393-<b>G</b>,"6 x 10-6",,'-,'-,'-,'-,STAC,"Celiac disease","celiac disease",'-,GCST002112,3:36368109
rs13128441-<b>C</b>,"8 x 10-6",,'-,'-,'-,'-,STK32B,"Celiac disease","celiac disease",'-,GCST002112,4:5160662
rs17760268-<b>C</b>,"4 x 10-6",,'-,'-,'-,'-,"RPL39P33, ANKFN1","Celiac disease","celiac disease",'-,GCST002112,17:56533930
rs10439884-<b>A</b>,"2 x 10-6",,'-,'-,'-,'-,TPTE,"Celiac disease","celiac disease",'-,GCST002112,21:10540506
rs4911642-<b>C</b>,"5 x 10-6",,'-,'-,'-,'-,YME1L1P1,"Celiac disease","celiac disease",'-,GCST002112,22:15473564
rs157640-<b>G</b>,"5 x 10-6",,'-,'-,'-,'-,RNU4ATAC7P,"Celiac disease","celiac disease",'-,GCST002112,20:54798000
rs1958589-<b>C</b>,"4 x 10-6",,'-,'-,'-,'-,EGLN3,"Celiac disease","celiac disease",'-,GCST002112,14:34375170
rs10886159-<b>C</b>,"7 x 10-7",,'-,'-,'-,'-,'-,"Celiac disease","celiac disease",'-,GCST002112,10:117854099
rs424232-<b>C</b>,"5 x 10-21",,'-,'-,'-,'-,"NOTCH4, TSBP1-AS1","Celiac disease","celiac disease",'-,GCST002112,6:32240547
rs195656-<b>A</b>,"7 x 10-6",,'-,'-,'-,'-,HYDIN,"Celiac disease","celiac disease",'-,GCST002112,16:71013581
rs2664156-<b>C</b>,"6 x 10-6",,'-,'-,'-,'-,KLK2,"Celiac disease","celiac disease",'-,GCST002112,19:50873907
rs2068824-<b>C</b>,"6 x 10-6",,'-,'-,'-,'-,NAV1,"Celiac disease","celiac disease",'-,GCST002112,1:201625537
rs4445406-<b>T</b>,"5 x 10-12",,0.656,1.1494253,'-,'-,MMEL1,"Celiac disease","celiac disease",'-,GCST005523,1:2607961
rs72657048-<b>G</b>,"4 x 10-6",,0.502,1.0869565,'-,'-,RUNX3,"Celiac disease","celiac disease",'-,GCST005523,1:24963243
rs12068671-<b>?</b>,"1 x 10-10",,0.815,1.1627907,'-,'-,"SLC25A38P1, FASLG","Celiac disease","celiac disease",'-,GCST005523,1:172711891
rs12142280-<b>?</b>,"8 x 10-9","(conditioned on rs12068671)",0.82,1.1494253,'-,'-,"NUCKS1, AIMP1P2","Celiac disease","celiac disease",'-,GCST005523,1:172895512
rs1250552-<b>A</b>,"8 x 10-17",,0.53,1.1627907,'-,'-,ZMIZ1,"Celiac disease","celiac disease",'-,GCST005523,10:79298270
rs10800746-<b>C</b>,"3 x 10-8",,0.695,1.12,'-,'-,INAVA,"Celiac disease","celiac disease",'-,GCST005523,1:200912264
rs13003464-<b>G</b>,"4 x 10-16",,0.388,1.17,'-,'-,PUS10,"Celiac disease","celiac disease",'-,GCST005523,2:60959694
rs990171-<b>A</b>,"1 x 10-16",,0.225,1.2,'-,'-,"IL18RAP, SLC9A4","Celiac disease","celiac disease",'-,GCST005523,2:102470310
rs61907765-<b>T</b>,"3 x 10-13",,0.213,1.18,'-,'-,ETS1,"Celiac disease","celiac disease",'-,GCST005523,11:128522042
rs3184504-<b>C</b>,"5 x 10-21",,0.488,1.19,'-,'-,"ATXN2, SH2B3","Celiac disease","celiac disease",'-,GCST005523,12:111446804
rs11851414-<b>?</b>,"5 x 10-8",,0.221,1.13,'-,'-,ZFP36L1,"Celiac disease","celiac disease",'-,GCST005523,14:68792785
rs1378938-<b>?</b>,"8 x 10-9",,0.278,1.13,'-,'-,"LMAN1L, CSK","Celiac disease","celiac disease",'-,GCST005523,15:74804102
rs7616215-<b>C</b>,"9 x 10-9","(conditioned on rs2097282)",0.361,1.12,'-,'-,CCR3,"Celiac disease","celiac disease",'-,GCST005523,3:46164194
rs61579022-<b>A</b>,"1 x 10-8",,0.39,1.11,'-,'-,ARHGAP31,"Celiac disease","celiac disease",'-,GCST005523,3:119404431
rs1353248-<b>?</b>,"1 x 10-8","(conditioned on imm_3_161120372)",0.712,1.1363636,'-,'-,IL12A-AS1,"Celiac disease","celiac disease",'-,GCST005523,3:159905770
rs2561288-<b>?</b>,"8 x 10-8","(conditioned on rs1353248, imm_3_161120372)",0.455,1.12,'-,'-,IL12A-AS1,"Celiac disease","celiac disease",'-,GCST005523,3:159957140
rs2030519-<b>A</b>,"3 x 10-49",,0.514,1.3157895,'-,'-,LPP,"Celiac disease","celiac disease",'-,GCST005523,3:188402113
rs13132308-<b>A</b>,"2 x 10-38",,0.834,1.4084507,'-,'-,IL21-AS1,"Celiac disease","celiac disease",'-,GCST005523,4:122629959
rs1050976-<b>?</b>,"2 x 10-9",,0.512,1.1235955,'-,'-,IRF4,"Celiac disease","celiac disease",'-,GCST005523,6:408079
imm_3_161120372-<b>A</b>,"3 x 10-27",,0.111,1.36,'-,'-,'-,"Celiac disease","celiac disease",'-,GCST005523,"Mapping not available"
rs55743914-<b>T</b>,"1 x 10-18",,0.239,1.21,'-,'-,PTPRK,"Celiac disease","celiac disease",'-,GCST005523,6:127972417
rs17264332-<b>G</b>,"5 x 10-30",,0.211,1.29,'-,'-,"LINC02539, SLC17A1","Celiac disease","celiac disease",'-,GCST005523,6:137684378
rs182429-<b>A</b>,"9 x 10-16",,0.427,1.16,'-,'-,TAGAP-AS1,"Celiac disease","celiac disease",'-,GCST005523,6:159048542
rs1107943-<b>?</b>,"3 x 10-6","(conditioned on rs182429)",0.071,1.18,'-,'-,TAGAP-AS1,"Celiac disease","celiac disease",'-,GCST005523,6:159077235
rs2387397-<b>?</b>,"2 x 10-8",,0.771,1.1363636,'-,'-,LINC02649,"Celiac disease","celiac disease",'-,GCST005523,10:6348230
rs1359062-<b>G</b>,"3 x 10-25",,0.82,1.2987013,'-,'-,RGS1,"Celiac disease","celiac disease",'-,GCST005523,1:192572342
rs7104791-<b>?</b>,"2 x 10-11",,0.209,1.16,'-,'-,"MIR4491, COLCA2","Celiac disease","celiac disease",'-,GCST005523,11:111326133
rs10892258-<b>?</b>,"2 x 10-11",,0.763,1.1627907,'-,'-,"DDX6, RNU6-376P","Celiac disease","celiac disease",'-,GCST005523,11:118709156
rs1018326-<b>C</b>,"3 x 10-16",,0.418,1.16,'-,'-,LINC01934,"Celiac disease","celiac disease",'-,GCST005523,2:181143073
rs6715106-<b>?</b>,"8 x 10-9",,0.942,1.2658228,'-,'-,STAT4,"Celiac disease","celiac disease",'-,GCST005523,2:191048308
rs6752770-<b>?</b>,"1 x 10-6","(conditioned on rs6715106)",0.296,1.1,'-,'-,STAT4,"Celiac disease","celiac disease",'-,GCST005523,2:191108837
rs1980422-<b>?</b>,"1 x 10-15",,0.233,1.19,'-,'-,"KRT18P39, CD28","Celiac disease","celiac disease",'-,GCST005523,2:203745673
rs4678523-<b>C</b>,"2 x 10-7",,0.313,1.11,'-,'-,"GLB1, CCR4","Celiac disease","celiac disease",'-,GCST005523,3:32996229
rs2097282-<b>?</b>,"1 x 10-20",,0.314,1.2,'-,'-,"CCR2, UQCRC2P1","Celiac disease","celiac disease",'-,GCST005523,3:46336534
rs6498114-<b>?</b>,"6 x 10-10",,0.246,1.14,'-,'-,CIITA,"Celiac disease","celiac disease",'-,GCST005523,16:10870261
rs11875687-<b>C</b>,"2 x 10-10",,0.15,1.17,'-,'-,PTPN2,"Celiac disease","celiac disease",'-,GCST005523,18:12843138
rs1893592-<b>?</b>,"3 x 10-9",,0.718,1.1363636,'-,'-,UBASH3A,"Celiac disease","celiac disease",'-,GCST005523,21:42434957
rs58911644-<b>A</b>,"6 x 10-7",,0.807,1.1235955,'-,'-,GATD3A,"Celiac disease","celiac disease",'-,GCST005523,21:44209238
rs4821124-<b>?</b>,"6 x 10-11",,0.186,1.16,'-,'-,"YDJC, UBE2L3","Celiac disease","celiac disease",'-,GCST005523,22:21625000
rs13397-<b>?</b>,"3 x 10-8",,0.133,1.18,'-,'-,TMEM187,"Celiac disease","celiac disease",'-,GCST005523,X:153982797
rs7753008-<b>C</b>,"3 x 10-7",,0.38,1.1,'-,'-,BACH2,"Celiac disease","celiac disease",'-,GCST005523,6:90099920
imm_6_138043754-<b>?</b>,"2 x 10-7","(conditioned on rs17264332)",0.81,1.1363636,'-,'-,'-,"Celiac disease","celiac disease",'-,GCST005523,"Mapping not available"
1kg_7_37384979-<b>?</b>,"2 x 10-8",,0.101,1.18,'-,'-,'-,"Celiac disease","celiac disease",'-,GCST005523,"Mapping not available"
rs17849502-<b>T</b>,"2 x 10-16",,0.06,1.43,'-,'-,"SMG7, NCF2","Celiac disease","celiac disease",'-,GCST010064,1:183563445
rs6806528-<b>T</b>,"9 x 10-9",,0.13,1.19,'-,'-,FRMD4B,"Celiac disease","celiac disease",'-,GCST010064,3:69203748
rs2364484-<b>C</b>,"5 x 10-9",,0.28,1.13,'-,'-,"SRP14P1, LTBR","Celiac disease","celiac disease",'-,GCST010064,12:6402830
