"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs12075255-<b>?</b>,"3 x 10-11","(subset analysis)",NR,'-,'-,'-,IL19,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:206788283
rs2666218-<b>?</b>,"9 x 10-10","(subset analysis)",NR,'-,'-,'-,ASAP2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:9262859
rs13407913-<b>?</b>,"3 x 10-18","(subset analysis)",NR,'-,'-,'-,ADCY3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:24874775
rs201014116-<b>?</b>,"2 x 10-7","(subset analysis)",NR,'-,'-,'-,DNMT3A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:25278036
rs1260326-<b>?</b>,"2 x 10-23","(subset analysis)",NR,'-,'-,'-,GCKR,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:27508073
rs925255-<b>?</b>,"8 x 10-18","(subset analysis)",NR,'-,'-,'-,FLJ31356,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:28391927
rs77981966-<b>?</b>,"2 x 10-16","(subset analysis)",NR,'-,'-,'-,THADA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:43550825
rs7608910-<b>?</b>,"2 x 10-32","(subset analysis)",NR,'-,'-,'-,PUS10,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:60977721
rs7552167-<b>?</b>,"1 x 10-8","(subset analysis)",NR,'-,'-,'-,"LINC02800, IFNLR1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:24192153
rs702872-<b>?</b>,"4 x 10-11","(subset analysis)",NR,'-,'-,'-,LINC01185,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:60854175
rs4672505-<b>?</b>,"2 x 10-52","(subset analysis)",NR,'-,'-,'-,RN7SL51P,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:62333197
rs11675538-<b>?</b>,"3 x 10-8","(subset analysis)",NR,'-,'-,'-,"SPRED2, DNAJB12P1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:65459327
rs4851529-<b>?</b>,"1 x 10-14","(subset analysis)",NR,'-,'-,'-,"IL1R2, IL1R1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:102030838
rs12987977-<b>?</b>,"3 x 10-17","(subset analysis)",NR,'-,'-,'-,IL18R1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:102358876
rs871656-<b>?</b>,"1 x 10-9","(subset analysis)",NR,'-,'-,'-,IL1R1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:102154822
rs11691685-<b>?</b>,"5 x 10-8","(subset analysis)",NR,'-,'-,'-,TEX41,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:144724260
rs2111485-<b>?</b>,"3 x 10-13","(subset analysis)",NR,'-,'-,'-,"FAP, IFIH1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:162254026
rs35667974-<b>?</b>,"5 x 10-10","(subset analysis)",NR,'-,'-,'-,IFIH1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:162268127
rs3747517-<b>?</b>,"2 x 10-9","(subset analysis)",NR,'-,'-,'-,IFIH1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:162272314
rs2476601-<b>?</b>,"3 x 10-12","(subset analysis)",NR,'-,'-,'-,PTPN22,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:113834946
rs72871627-<b>?</b>,"1 x 10-8","(subset analysis)",NR,'-,'-,'-,IFIH1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:162280432
rs17229679-<b>?</b>,"3 x 10-17","(subset analysis)",NR,'-,'-,'-,'-,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:198696033
rs6434978-<b>?</b>,"1 x 10-10","(subset analysis)",NR,'-,'-,'-,"RNU7-147P, PLCL1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:198702963
rs114202211-<b>?</b>,"5 x 10-8","(subset analysis)",NR,'-,'-,'-,HIPK1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:113943285
rs4845604-<b>?</b>,"2 x 10-16","(subset analysis)",NR,'-,'-,'-,RORC,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:151829204
rs6693105-<b>?</b>,"4 x 10-24","(subset analysis)",NR,'-,'-,'-,"LCE3A, LCE3B","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:152618187
rs4129267-<b>?</b>,"9 x 10-18","(subset analysis)",NR,'-,'-,'-,IL6R,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:154453788
rs4971079-<b>?</b>,"3 x 10-10","(subset analysis)",NR,'-,'-,'-,'-,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,"Mapping not available"
rs78973538-<b>?</b>,"3 x 10-8","(subset analysis)",NR,'-,'-,'-,GBAP1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:155224224
rs1333062-<b>?</b>,"2 x 10-11","(subset analysis)",NR,'-,'-,'-,"CD244, ITLN1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:160876494
rs10800314-<b>?</b>,"1 x 10-32","(subset analysis)",NR,'-,'-,'-,FCGR2A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:161502999
rs61802846-<b>?</b>,"1 x 10-9","(subset analysis)",NR,'-,'-,'-,FCGR2A,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:161504083
rs79568124-<b>?</b>,"8 x 10-7","(subset analysis)",NR,'-,'-,'-,"RPS23P10, HSPA6","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:161533059
rs6425143-<b>?</b>,"1 x 10-17","(subset analysis)",NR,'-,'-,'-,AIMP1P2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:172875212
rs1405108-<b>?</b>,"8 x 10-8","(subset analysis)",NR,'-,'-,'-,'-,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:198880294
rs7426056-<b>?</b>,"1 x 10-20","(subset analysis)",NR,'-,'-,'-,"KRT18P39, CD28","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:203747335
rs11306716-<b>?</b>,"3 x 10-12","(subset analysis)",NR,'-,'-,'-,"RNU6-474P, CTLA4","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:203843041
rs11676348-<b>?</b>,"2 x 10-11","(subset analysis)",NR,'-,'-,'-,"CXCR2, CXCR1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:218145423
rs7556897-<b>?</b>,"8 x 10-12","(subset analysis)",NR,'-,'-,'-,"SNRPGP8, CCL20","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:227795396
rs12694846-<b>?</b>,"5 x 10-15","(subset analysis)",NR,'-,'-,'-,SP140,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:230283413
rs35300242-<b>?</b>,"5 x 10-67","(subset analysis)",NR,'-,'-,'-,ATG16L1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:233260144
rs3749171-<b>?</b>,"2 x 10-25","(subset analysis)",NR,'-,'-,'-,GPR35,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:240630275
rs4676406-<b>?</b>,"6 x 10-10","(subset analysis)",NR,'-,'-,'-,"GPR35, AQP12B","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:240639691
rs35320439-<b>?</b>,"7 x 10-10","(subset analysis)",NR,'-,'-,'-,GAL3ST2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,2:241797926
rs73178598-<b>?</b>,"3 x 10-13","(subset analysis)",NR,'-,'-,'-,SATB1-AS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,3:18763719
rs10510607-<b>?</b>,"4 x 10-7","(subset analysis)",NR,'-,'-,'-,CMC1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,3:28244770
rs1001007-<b>?</b>,"2 x 10-8","(subset analysis)",NR,'-,'-,'-,CCR5AS,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,3:46387167
rs3197999-<b>?</b>,"7 x 10-55","(subset analysis)",NR,'-,'-,'-,MST1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,3:49684099
rs116046827-<b>?</b>,"8 x 10-11","(subset analysis)",NR,'-,'-,'-,BSN,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,3:49618715
