"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs1011970-<b>T</b>,"5 x 10-6","(subset analysis)",NR,'-,'-,'-,CDKN2B-AS1,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,9:22062135
rs11200014-<b>A</b>,"8 x 10-35","(subset analysis)",NR,'-,'-,'-,FGFR2,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,10:121575416
rs7931342-<b>G</b>,"4 x 10-14","(subset analysis)",NR,'-,'-,'-,"SMIM38, MYEOV","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,11:69227030
rs148883465-<b>G</b>,"3 x 10-8","(subset analysis)",NR,'-,'-,'-,MIR4693,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,11:103813371
rs11168936-<b>C</b>,"9 x 10-7","(subset analysis)",NR,'-,'-,'-,TUBA1C,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,12:49251457
rs73110464-<b>T</b>,"2 x 10-15","(subset analysis)",NR,'-,'-,'-,KRT8,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,12:52918828
rs3184504-<b>C</b>,"1 x 10-6","(subset analysis)",NR,'-,'-,'-,"ATXN2, SH2B3","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, squamous cell lung carcinoma, lung adenocarcinoma",'-,GCST003588,12:111446804
rs11571818-<b>C</b>,"5 x 10-10","(subset analysis)",NR,'-,'-,'-,BRCA2,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,13:32394673
rs11844632-<b>A</b>,"3 x 10-10","(subset analysis)",NR,'-,'-,'-,RAD51B,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,14:68559662
rs12601991-<b>T</b>,"7 x 10-28","(subset analysis)",NR,'-,'-,'-,HNF1B,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,17:37741642
rs4808075-<b>C</b>,"2 x 10-9","(subset analysis)",NR,'-,'-,'-,"USHBP1, BABAM1","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,19:17279482
rs11907546-<b>T</b>,"3 x 10-6","(subset analysis)",NR,'-,'-,'-,"ASIP, RPS2P1","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,20:34131991
rs141752671-<b>G</b>,"1 x 10-7","(subset analysis)",NR,'-,'-,'-,'-,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,11:103745837
rs11065979-<b>T</b>,"5 x 10-6","(subset analysis)",NR,'-,'-,'-,"BRAP, ATXN2-AS","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,12:111621753
rs2300206-<b>C</b>,"6 x 10-6","(subset analysis)",NR,'-,'-,'-,RALY,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,20:34002002
rs56084662-<b>A</b>,"4 x 10-9","(subset analysis)",NR,'-,'-,'-,FRY,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,13:32295727
rs1057941-<b>A</b>,"2 x 10-7",,NR,1.1,'-,[NR],GBAP1,Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,1:155216951
rs2974935-<b>T</b>,"2 x 10-7",,NR,1.1,'-,[NR],MTX1,Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,1:155212052
rs11119608-<b>T</b>,"1 x 10-7",,NR,1.1111112,'-,[NR],KCNH1,Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,1:210816167
rs75316749-<b>G</b>,"2 x 10-7",,NR,1.1,'-,[NR],"LINC01997, MECOM",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,3:169043635
rs115707823-<b>A</b>,"2 x 10-6",,NR,1.1,'-,[NR],"UBQLN1P1, MICC",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,6:30374976
rs115392158-<b>G</b>,"9 x 10-6",,NR,1.1,'-,[NR],"HLA-B, LINC02571",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,6:31347004
rs147527678-<b>C</b>,"5 x 10-7",,NR,1.1,'-,[NR],"MTCO3P1, HLA-DQB1",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,6:32699696
rs4604234-<b>C</b>,"6 x 10-6",,NR,1.1,'-,[NR],"RPL17P25, RPSAP72",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,6:80398959
rs12349081-<b>A</b>,"6 x 10-6",,NR,1.1,'-,[NR],"MTAP, CDKN2A-DT",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,9:21951903
rs1011970-<b>T</b>,"2 x 10-7",,NR,1.1,'-,[NR],CDKN2B-AS1,Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,9:22062135
rs3184504-<b>C</b>,"2 x 10-6",,NR,1.1,'-,[NR],"ATXN2, SH2B3",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,12:111446804
rs11571833-<b>T</b>,"8 x 10-12",,NR,1.6,'-,[NR],BRCA2,Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,13:32398489
rs12601991-<b>T</b>,"1 x 10-9",,NR,1.1,'-,[NR],HNF1B,Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,17:37741642
rs4808075-<b>C</b>,"4 x 10-7",,NR,1.1,'-,[NR],"USHBP1, BABAM1",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,19:17279482
rs11907546-<b>C</b>,"3 x 10-9",,NR,1.1111112,'-,[NR],"ASIP, RPS2P1",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,20:34131991
rs56404467-<b>A</b>,"1 x 10-7",,NR,1.2,'-,[NR],FRY,Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,13:32265853
rs2300206-<b>G</b>,"2 x 10-8",,NR,1.1111112,'-,[NR],RALY,Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003587,20:34002002
rs7593032-<b>T</b>,"4 x 10-6",(Female),0.713,0.631,'-,[0.52-0.74],"PKDCC, EML4-AS1","Lung cancer","lung cancer",'-,GCST011974,2:42122050
rs42775-<b>T</b>,"5 x 10-6",(Female),0.325,1.561,'-,[1.29-1.83],LINC02056,"Lung cancer","lung cancer",'-,GCST011974,5:72584687
rs76972397-<b>T</b>,"1 x 10-6",(Female),0.93,0.432,'-,[0.31-0.56],ZRANB1,"Lung cancer","lung cancer",'-,GCST011974,10:124961380
rs482962-<b>A</b>,"5 x 10-6",(Female),0.262,1.607,'-,[1.31-1.9],"EIF4A3P1, LINC01915","Lung cancer","lung cancer",'-,GCST011974,18:24532843
rs12657742-<b>A</b>,"4 x 10-6",(Male),0.864,0.555,'-,[0.43-0.68],LINC01377,"Lung cancer","lung cancer",'-,GCST011974,5:3123661
rs77914729-<b>C</b>,"3 x 10-6",(Male),0.929,0.475,'-,[0.35-0.6],RPSAP37,"Lung cancer","lung cancer",'-,GCST011974,5:126003571
rs11954381-<b>G</b>,"3 x 10-6",(Male),0.929,0.477,'-,[0.35-0.6],RPSAP37,"Lung cancer","lung cancer",'-,GCST011974,5:126006435
rs3799451-<b>A</b>,"2 x 10-6",(Male),0.852,0.565,'-,[0.45-0.68],MAP7,"Lung cancer","lung cancer",'-,GCST011974,6:136508794
rs13261356-<b>C</b>,"3 x 10-6",(Male),0.9,0.482,'-,[0.35-0.61],CSMD1,"Lung cancer","lung cancer",'-,GCST011974,8:4605119
rs11012129-<b>T</b>,"3 x 10-7",(Male),0.945,0.375,'-,[0.26-0.49],MIR4675,"Lung cancer","lung cancer",'-,GCST011974,10:20545511
rs2437037-<b>A</b>,"4 x 10-6",(Male),0.909,0.449,'-,[0.32-0.58],ATP8B1,"Lung cancer","lung cancer",'-,GCST011974,18:57795758
rs363433-<b>C</b>,"1 x 10-6",(Male),0.863,0.539,'-,[0.42-0.66],"GRIK1, BACH1","Lung cancer","lung cancer",'-,GCST011974,21:29588811
rs11747472-<b>T</b>,"6 x 10-8",,0.948,0.46,'-,[0.35-0.57],"TENM2, CTB-178M22.2","Lung cancer","lung cancer",'-,GCST90101896,5:168261395
rs716274-<b>G</b>,"9 x 10-8","(AG genotype)",NR,1.83,'-,[1.47-2.29],DYNC2H1,"Small-cell lung cancer (survival)","small cell lung carcinoma",'-,GCST000896,11:103547430
rs138600791-<b>C</b>,"2 x 10-6",,0.012265263,1.8133612,'-,[1.419742717-2.316108819],'-,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,3:135461153
rs80152782-<b>A</b>,"9 x 10-6",,0.014091705,1.7656513,'-,[1.372958748-2.270661615],BBX,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,3:107528583
rs9308062-<b>T</b>,"5 x 10-7",,0.416531265,1.1650723,'-,[1.097465593-1.236843752],TMA16,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,4:163517048
rs79669866-<b>A</b>,"9 x 10-6",,0.010059146,1.8112257,'-,[1.39404894-2.353244681],MARCHF1,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,4:164402797
rs55656647-<b>C</b>,"7 x 10-6",,0.087723238,1.3116096,'-,[1.165572775-1.475943646],LINC00290,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,4:181038635
rs1703426-<b>C</b>,"2 x 10-6",,0.825064016,1.2045968,'-,[1.12-1.3],WSPAR,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,5:133849844
rs258892-<b>C</b>,"5 x 10-6",,0.139422331,1.2072699,'-,[1.11347027-1.308971306],FCHO2,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,5:73010019
rs74501188-<b>G</b>,"3 x 10-7",,0.776056638,1.2018008,'-,[1.12-1.29],ADGRV1,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,5:90931162
rs80271657-<b>A</b>,"4 x 10-6",,0.012126484,1.9961306,'-,[1.48586427-2.681629472],NEDD9,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:11322557
rs12200782-<b>C</b>,"1 x 10-6",,0.90335766,1.2811285,'-,[1.16-1.42],BTN3A1,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:26402808
rs115867638-<b>T</b>,"6 x 10-6",,0.217424584,1.1754762,'-,[1.096168956-1.26052129],"IFITM4P, HLA-V","Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:29760793
rs114719647-<b>T</b>,"4 x 10-6",,0.318140779,1.1571459,'-,[1.087830881-1.230877362],"MICC, UBQLN1P1","Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:30414391
rs115973930-<b>A</b>,"4 x 10-6",,0.226094221,1.1751325,'-,[1.097338558-1.258441576],HCG20,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:30766303
rs114115252-<b>A</b>,"2 x 10-6",,0.123416681,1.2330538,'-,[1.130912186-1.344420602],SFTA2,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:30931418
rs114033761-<b>C</b>,"1 x 10-7",,0.119524609,1.265363,'-,[1.160413963-1.379803582],"RNU6-1133P, C6orf15","Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:31093784
rs116427960-<b>T</b>,"5 x 10-8",,0.155571968,1.2539612,'-,[1.155764574-1.360500794],"HLA-B, LINC02571","Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:31351449
rs115441327-<b>C</b>,"8 x 10-6",,0.261604857,1.1617801,'-,[1.087902659-1.240674335],BAG6,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:31645962
rs67682613-<b>A</b>,"5 x 10-6",,0.137710569,1.2151433,'-,[1.11744981-1.32137761],NEU1,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:31858928
rs112037939-<b>T</b>,"2 x 10-6",,0.250976287,1.1774344,'-,[1.100213154-1.260075647],"HLA-DRB1, HLA-DQA1","Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:32623699
rs9464379-<b>G</b>,"8 x 10-6",,0.5832657130000001,1.1592995,'-,[1.09-1.24],COL21A1,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:56338876
rs140013431-<b>C</b>,"1 x 10-6",,0.021230605,1.6634338,'-,[1.355454781-2.041390117],BMP6,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,6:7770278
rs116877011-<b>T</b>,"2 x 10-6",,0.020399938,1.6737633,'-,[1.351182202-2.073357283],SCIN,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,7:12613434
rs117205897-<b>T</b>,"7 x 10-6",,0.017012195,1.862035,'-,[1.419121326-2.443184068],SKAP2,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,7:26980172
rs6463739-<b>G</b>,"2 x 10-6",,0.596687126,1.155505,'-,[1.09-1.23],UMAD1,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,7:7867093
rs2898279-<b>G</b>,"6 x 10-6",,0.659080483,1.1534675,'-,[1.08-1.23],"FAM167A, FAM167A-AS1","Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,8:11437742
rs55843245-<b>A</b>,"3 x 10-6",,0.326033226,1.1604022,'-,[1.090087033-1.235253053],DLC1,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,8:13580367
rs17185553-<b>C</b>,"9 x 10-7",,0.081032077,1.2937081,'-,[1.167420859-1.433656677],ADAMTSL1,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,9:17934122
rs10118776-<b>G</b>,"4 x 10-7",,0.062814101,1.3389986,'-,[1.196193182-1.498852438],IL33,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,9:6227418
rs141877527-<b>G</b>,"1 x 10-6",,0.013192445,1.9389111,'-,[1.480804376-2.538739234],LINC02628,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,10:33497992
rs3134425-<b>C</b>,"1 x 10-6",,0.6190244389999999,1.1615169,'-,[1.09-1.23],"CRTAM, UBASH3B","Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,11:122838470
rs117729306-<b>C</b>,"7 x 10-7",,0.01066031,2.3079925,'-,[1.659462156-3.209973571],STK33,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,11:8465623
rs34735495-<b>G</b>,"4 x 10-6",,0.034076152,1.4680247,'-,[1.246296636-1.729200387],DISC1FP1,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,11:90676974
rs12279741-<b>G</b>,"8 x 10-6",,0.013703728,1.8242028,'-,[1.401328759-2.374685998],PIWIL4,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,11:94551363
rs12822733-<b>C</b>,"7 x 10-6",,0.813559578,1.1891366,'-,[1.1-1.28],RAD52,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,12:946864
rs1073160-<b>A</b>,"3 x 10-6",,0.490180585,1.149611,'-,[1.084500629-1.218630424],"A2ML1, PHC1","Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,12:8905966
rs77028233-<b>A</b>,"8 x 10-6",,0.058610026,1.3694347,'-,[1.19257259-1.572525982],LINC02822,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,12:90637859
rs11571833-<b>T</b>,"3 x 10-8",,0.009562644,2.1940665,'-,[1.66261291-2.89539903],BRCA2,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,13:32398489
rs117823901-<b>C</b>,"4 x 10-6",,0.028043892,1.5131308,'-,[1.268374289-1.805117729],LINC00383,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,13:69272886
rs116039120-<b>C</b>,"5 x 10-6",,0.019935006,1.6098583,'-,[1.311361149-1.97630046],"TMEM179, LINC02280","Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,14:104637421
rs847245-<b>G</b>,"2 x 10-6",,0.04109971,1.5125053,'-,[1.274042132-1.795601601],RGS6,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,14:72249978
rs77216150-<b>T</b>,"6 x 10-6",,0.029213786,1.5436904,'-,[1.278637808-1.863686591],FOXN3,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,14:89201573
rs2704201-<b>C</b>,"4 x 10-6",,0.075227456,1.2850466,'-,[1.154833051-1.429942352],ALDH1A2,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,15:58125929
rs55853698-<b>G</b>,"5 x 10-21",,0.359915817,1.3336763,'-,[1.256072968-1.416074239],CHRNA5,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,15:78565597
rs3813565-<b>T</b>,"1 x 10-9",,0.401175298,1.2131084,'-,[1.139778258-1.291156411],CHRNB4,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,15:78727268
rs145474218-<b>C</b>,"3 x 10-6",,0.012956586,1.9609474,'-,[1.476818807-2.603782368],LINC02254,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,15:97438904
rs8049634-<b>G</b>,"1 x 10-6",,0.248145728,1.1792545,'-,[1.102930622-1.260860039],ADAD2,"Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,16:84192073
rs140394255-<b>A</b>,"2 x 10-6",,0.075061735,1.3050312,'-,[1.168823371-1.457111962],"UBE2G1, SPNS3","Small cell lung carcinoma","small cell lung carcinoma",'-,GCST004746,17:4424688
