"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs113658888-<b>T</b>,"9 x 10-8",,0.011,2.11,'-,[1.6-2.77],MROH1,"Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,8:144167882
rs115861550-<b>T</b>,"4 x 10-6",,0.01,2.05,'-,[1.51-2.79],VAV2,"Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,9:133826997
rs3750827-<b>A</b>,"8 x 10-10",,0.011,2.24,'-,[1.73-2.89],EBF3,"Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,10:129839530
rs563064-<b>A</b>,"5 x 10-8",,0.01,2.98,'-,[2.01-4.41],"F7, F10","Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,13:113122057
rs820198-<b>T</b>,"6 x 10-6",,0.01,2.97,'-,[1.86-4.75],RECQL5,"Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,17:75631738
rs12452625-<b>A</b>,"7 x 10-8",,0.011,2.14,'-,[1.62-2.82],RFNG,"Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,17:82048551
rs59027729-<b>A</b>,"4 x 10-8",,0.014,1.9,'-,[1.51-2.39],HCN2,"Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,19:611321
rs116837676-<b>A</b>,"7 x 10-8",,0.011,2.42,'-,[1.76-3.34],MYADM,"Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,19:53869214
rs17144046-<b>G</b>,"9 x 10-7",,NR,1.41,'-,NR,"KRT8P37, CHCHD3P1","Benign prostatic hyperplasia and/or lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST004638,10:8564051
rs2556378-<b>T</b>,"3 x 10-12",,0.154,1.12,'-,[1.08-1.16],BCL11A,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,2:60535367
rs2853677-<b>G</b>,"4 x 10-20",,0.421,1.12,'-,[1.09-1.14],TERT,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,5:1287079
rs1638703-<b>C</b>,"1 x 10-14",,0.256,1.11,'-,[1.08-1.14],DLEU1,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,13:50514220
rs9958656-<b>T</b>,"4 x 10-17",,0.43,1.11,'-,[1.08-1.13],CTAGE1,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,18:22324181
rs4548546-<b>T</b>,"2 x 10-16",,0.31,1.11,'-,[1.08-1.14],WDR11,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,10:120870067
rs7906649-<b>G</b>,"5 x 10-13",,0.286,1.1,'-,[1.07-1.13],DNAJC1,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,10:22021369
rs8853-<b>C</b>,"1 x 10-9",,0.494,1.08,'-,[1.05-1.10],TBX3,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,12:114671102
rs17670370-<b>G</b>,"5 x 10-6",,0.262,1.06,'-,"[1.04,1.09]",ATP7BP1,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,18:22454054
rs11651052-<b>G</b>,"8 x 10-6",,0.53,1.0526316,'-,[1.03-1.08],HNF1B,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,17:37742390
rs2981575-<b>A</b>,"5 x 10-7",,0.573,1.0638298,'-,[1.04-1.09],FGFR2,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,10:121586602
rs6561599-<b>G</b>,"6 x 10-9",,0.629,1.0752687,'-,[1.05-1.1],"DLEU1, RNASEH2B-AS1","Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,13:50904782
rs2555019-<b>C</b>,"3 x 10-12",,0.544,1.0869565,'-,[1.06-1.11],LINC02459,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,12:114230813
rs6061244-<b>G</b>,"3 x 10-10",,0.614,1.0869565,'-,[1.05-1.11],GATA5,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,20:62466597
rs10054105-<b>T</b>,"2 x 10-11",,0.787,1.1111112,'-,[1.08-1.14],'-,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,"Mapping not available"
rs381949-<b>G</b>,"6 x 10-25",,0.585,1.1363636,'-,[1.11-1.16],CLPTM1L,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,5:1322353
rs677394-<b>C</b>,"1 x 10-10",,0.877,1.1363636,'-,[1.09-1.18],C5orf66,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,5:135271869
rs200476-<b>A</b>,"4 x 10-15",,0.838,1.1363636,'-,[1.1-1.18],"RSL24D1P1, H4C10P","Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,6:27800570
rs11084596-<b>T</b>,"4 x 10-24",,0.644,1.1363636,'-,[1.11-1.16],"LINC02841, RNA5SP471","Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,19:31614073
rs72878024-<b>G</b>,"6 x 10-12",,0.92,1.1764705,'-,[1.12-1.22],"ODF3, BET1L","Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,11:199492
rs200383755-<b>G</b>,"1 x 10-9",,0.9909,1.5625,'-,[1.35-1.82],GATA5,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,20:62475466
rs2556378-<b>T</b>,"3 x 10-11",,0.154,1.11,'-,[1.08-1.14],BCL11A,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,2:60535367
rs10180282-<b>T</b>,"6 x 10-6",,0.456,1.05,'-,[1.03-1.08],MIR4432HG,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,2:60351708
rs381949-<b>G</b>,"2 x 10-28",,0.415,1.1363636,'-,[1.11-1.16],CLPTM1L,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,5:1322353
rs2853677-<b>G</b>,"2 x 10-22",,0.421,1.12,'-,[1.09-1.15],TERT,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,5:1287079
rs10054105-<b>T</b>,"4 x 10-12",,0.213,1.098901,'-,[1.08-1.14],'-,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,"Mapping not available"
rs677394-<b>C</b>,"3 x 10-11",,0.123,1.1363636,'-,[1.09-1.18],C5orf66,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,5:135271869
rs200476-<b>A</b>,"4 x 10-17",,0.162,1.1363636,'-,[1.11-1.18],"RSL24D1P1, H4C10P","Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,6:27800570
rs148678804-<b>A</b>,"1 x 10-22",,0.035,1.34,'-,[1.26-1.41],ADIPOR1P1,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,10:22138360
rs7906649-<b>G</b>,"2 x 10-15",,0.286,1.11,'-,[1.08-1.13],DNAJC1,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,10:22021369
rs11199879-<b>C</b>,"4 x 10-20",,0.252,1.13,'-,[1.10-1.16],LINC01153,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,10:121285698
rs4548546-<b>T</b>,"3 x 10-15",,0.31,1.1,'-,[1.08-1.13],WDR11,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,10:120870067
rs2981575-<b>A</b>,"3 x 10-6",,0.427,1.0526316,'-,[1.03-1.09],FGFR2,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,10:121586602
rs72878024-<b>G</b>,"1 x 10-12",,0.08,1.1764705,'-,[1.12-1.22],"ODF3, BET1L","Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,11:199492
rs2555019-<b>C</b>,"1 x 10-10",,0.456,1.0752687,'-,[1.05-1.1],LINC02459,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,12:114230813
rs8853-<b>C</b>,"4 x 10-9",,0.494,1.07,'-,[1.05-1.09],TBX3,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,12:114671102
rs1638703-<b>C</b>,"2 x 10-15",,0.256,1.11,'-,[1.08-1.14],DLEU1,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,13:50514220
rs6561599-<b>G</b>,"1 x 10-8",,0.371,1.0752687,'-,[1.04-1.1],"DLEU1, RNASEH2B-AS1","Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,13:50904782
rs11651052-<b>G</b>,"3 x 10-10",,0.47,1.0752687,'-,[1.05-1.1],HNF1B,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,17:37742390
rs9958656-<b>T</b>,"3 x 10-18",,0.43,1.11,'-,[1.08-1.13],CTAGE1,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,18:22324181
rs17670370-<b>G</b>,"5 x 10-6",,0.262,1.06,'-,[1.03-1.09],ATP7BP1,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,18:22454054
rs11084596-<b>T</b>,"2 x 10-24",,0.356,1.1363636,'-,[1.11-1.16],"LINC02841, RNA5SP471","Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,19:31614073
rs200383755-<b>G</b>,"7 x 10-12",,0.0091,1.6129031,'-,[1.41-1.85],GATA5,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,20:62475466
rs6061244-<b>G</b>,"8 x 10-10",,0.386,1.0752687,'-,[1.05-1.1],GATA5,"Benign prostatic hyperplasia and lower urinary tract symptoms","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007507,20:62466597
rs148678804-<b>A</b>,"2 x 10-18",,0.035,1.31,'-,[1.23-1.39],ADIPOR1P1,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,10:22138360
rs11199879-<b>C</b>,"6 x 10-18",,0.252,1.13,'-,[1.10-1.16],LINC01153,"Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded)","lower urinary tract symptom, benign prostatic hyperplasia",'-,GCST007512,10:121285698
rs4713266-<b>C</b>,"1 x 10-5",,NR,1.06,'-,NR,NEDD9,"Prostate cancer","prostate carcinoma",'-,GCST011957,6:11218797
rs2273669-<b>G</b>,"9 x 10-7",,NR,1.1,'-,NR,ARMC2,"Prostate cancer","prostate carcinoma",'-,GCST011957,6:108963986
rs339331-<b>T</b>,"4 x 10-10",,NR,1.1,'-,NR,RFX6,"Prostate cancer","prostate carcinoma",'-,GCST011957,6:116888889
rs651164-<b>G</b>,"2 x 10-8",,NR,1.09,'-,NR,"SLC22A2, SLC22A1","Prostate cancer","prostate carcinoma",'-,GCST011957,6:160160342
rs9364554-<b>T</b>,"4 x 10-12",,NR,1.11,'-,NR,SLC22A3,"Prostate cancer","prostate carcinoma",'-,GCST011957,6:160412632
rs10486567-<b>G</b>,"2 x 10-19",,NR,1.17,'-,NR,JAZF1,"Prostate cancer","prostate carcinoma",'-,GCST011957,7:27936944
rs6465657-<b>C</b>,"1 x 10-14",,NR,1.12,'-,NR,LMTK2,"Prostate cancer","prostate carcinoma",'-,GCST011957,7:98187015
rs1512268-<b>A</b>,"2 x 10-21",,NR,1.15,'-,NR,"SINHCAFP3, NKX3-1","Prostate cancer","prostate carcinoma",'-,GCST011957,8:23668950
rs1016343-<b>T</b>,"4 x 10-41",,NR,1.25,'-,NR,"PRNCR1, PCAT1, CASC19","Prostate cancer","prostate carcinoma",'-,GCST011957,8:127081052
rs6983267-<b>G</b>,"1 x 10-52",,NR,1.24,'-,NR,"POU5F1B, CCAT2, CASC8, PCAT1","Prostate cancer","prostate carcinoma",'-,GCST011957,8:127401060
rs10993994-<b>T</b>,"2 x 10-52",,NR,1.24,'-,NR,MSMB,"Prostate cancer","prostate carcinoma",'-,GCST011957,10:46046326
rs7127900-<b>A</b>,"4 x 10-24",,NR,1.19,'-,NR,"ASCL2, MIR4686","Prostate cancer","prostate carcinoma",'-,GCST011957,11:2212344
rs10896449-<b>G</b>,"4 x 10-33",,NR,1.19,'-,NR,"MYEOV, SMIM38","Prostate cancer","prostate carcinoma",'-,GCST011957,11:69227200
rs11568818-<b>A</b>,"6 x 10-6",,NR,1.07,'-,NR,"MMP7, MMP20","Prostate cancer","prostate carcinoma",'-,GCST011957,11:102530930
rs10875943-<b>C</b>,"8 x 10-10",,NR,1.1,'-,NR,"TROAP-AS1, TUBA1C","Prostate cancer","prostate carcinoma",'-,GCST011957,12:49282227
rs902774-<b>A</b>,"2 x 10-10",,NR,1.13,'-,NR,"RPL7P41, KRT78","Prostate cancer","prostate carcinoma",'-,GCST011957,12:52880120
rs8008270-<b>G</b>,"9 x 10-9",,NR,1.11,'-,NR,FERMT2,"Prostate cancer","prostate carcinoma",'-,GCST011957,14:52905612
rs684232-<b>G</b>,"4 x 10-8",,NR,1.08,'-,NR,VPS53,"Prostate cancer","prostate carcinoma",'-,GCST011957,17:715725
rs28441558-<b>C</b>,"1 x 10-8",,NR,1.18,'-,NR,CHD3,"Prostate cancer","prostate carcinoma",'-,GCST011957,17:7899800
rs7501939-<b>C</b>,"9 x 10-41",,NR,1.22,'-,NR,HNF1B,"Prostate cancer","prostate carcinoma",'-,GCST011957,17:37741165
rs138213197-<b>T</b>,"3 x 10-43",,NR,4.46,'-,NR,HOXB13,"Prostate cancer","prostate carcinoma",'-,GCST011957,17:48728343
rs1859962-<b>G</b>,"9 x 10-23",,NR,1.15,'-,NR,CASC17,"Prostate cancer","prostate carcinoma",'-,GCST011957,17:71112612
rs8102476-<b>C</b>,"8 x 10-11",,NR,1.1,'-,NR,SPINT2,"Prostate cancer","prostate carcinoma",'-,GCST011957,19:38244973
rs2735839-<b>G</b>,"1 x 10-21",,NR,1.25,'-,NR,"KLK2, KLK3","Prostate cancer","prostate carcinoma",'-,GCST011957,19:50861367
rs5759167-<b>G</b>,"4 x 10-25",,NR,1.16,'-,NR,"TTLL1, BIK","Prostate cancer","prostate carcinoma",'-,GCST011957,22:43104206
rs2405942-<b>A</b>,"2 x 10-6",,NR,1.06,'-,NR,SHROOM2,"Prostate cancer","prostate carcinoma",'-,GCST011957,X:9846095
rs557046152-<b>G</b>,"5 x 10-9",,NR,1.79,'-,1.47-2.17,DUSP4,"Prostate cancer","prostate carcinoma",'-,GCST011957,8:29356070
rs555778703-<b>G</b>,"2 x 10-8",,NR,1.82,'-,1.48-2.24,TBC1D9,"Prostate cancer","prostate carcinoma",'-,GCST011957,4:140700216
rs62262671-<b>G</b>,"4 x 10-8",,NR,1.12,'-,1.07-1.16,BSN,"Prostate cancer","prostate carcinoma",'-,GCST011957,3:49612440
rs80242938-<b>G</b>,"4 x 10-9",,NR,11.7,'-,5.16-26.6,SEC14L5,"Prostate cancer","prostate carcinoma",'-,GCST011957,16:4964068
rs149892036-<b>T</b>,"4 x 10-8",,NR,2.14,'-,1.63-2.81,"PLAG1, MOS","Prostate cancer","prostate carcinoma",'-,GCST011957,8:56135791
rs139191981-<b>A</b>,"5 x 10-8",,NR,5.43,'-,2.95-9.97,ATP11B,"Prostate cancer","prostate carcinoma",'-,GCST011957,3:182870860
rs17599629-<b>G</b>,"7 x 10-7",,NR,1.09,'-,NR,GOLPH3L,"Prostate cancer","prostate carcinoma",'-,GCST011957,1:150685811
rs4245739-<b>A</b>,"1 x 10-7",,NR,1.09,'-,NR,MDM4,"Prostate cancer","prostate carcinoma",'-,GCST011957,1:204549714
rs1465618-<b>A</b>,"6 x 10-9",,NR,1.1,'-,NR,THADA,"Prostate cancer","prostate carcinoma",'-,GCST011957,2:43326810
rs2430386-<b>T</b>,"1 x 10-13",,NR,1.11,'-,NR,EHBP1,"Prostate cancer","prostate carcinoma",'-,GCST011957,2:62950976
rs10187424-<b>A</b>,"2 x 10-9",,NR,1.09,'-,NR,VAMP8,"Prostate cancer","prostate carcinoma",'-,GCST011957,2:85567174
rs12621278-<b>A</b>,"2 x 10-14",,NR,1.28,'-,NR,ITGA6,"Prostate cancer","prostate carcinoma",'-,GCST011957,2:172446825
rs2660753-<b>T</b>,"5 x 10-7",,NR,1.12,'-,NR,"LINC00506, PPATP1","Prostate cancer","prostate carcinoma",'-,GCST011957,3:87061524
rs7611694-<b>A</b>,"1 x 10-8",,NR,1.09,'-,NR,SIDT1,"Prostate cancer","prostate carcinoma",'-,GCST011957,3:113556777
rs10934853-<b>A</b>,"5 x 10-8",,NR,1.09,'-,NR,EEFSEC,"Prostate cancer","prostate carcinoma",'-,GCST011957,3:128319530
rs71277158-<b>T</b>,"4 x 10-11",,NR,1.14,'-,NR,PRKCI,"Prostate cancer","prostate carcinoma",'-,GCST011957,3:170281428
rs10936632-<b>A</b>,"8 x 10-6",,NR,1.07,'-,NR,"SKIL, CLDN11","Prostate cancer","prostate carcinoma",'-,GCST011957,3:170412314
rs12500426-<b>A</b>,"6 x 10-9",,NR,1.09,'-,NR,PDLIM5,"Prostate cancer","prostate carcinoma",'-,GCST011957,4:94593458
rs7679673-<b>C</b>,"4 x 10-18",,NR,1.14,'-,NR,"RNU6-351P, TET2","Prostate cancer","prostate carcinoma",'-,GCST011957,4:105140377
rs2242652-<b>G</b>,"1 x 10-15",,NR,1.16,'-,NR,TERT,"Prostate cancer","prostate carcinoma",'-,GCST011957,5:1279913
rs12653946-<b>T</b>,"6 x 10-11",,NR,1.1,'-,NR,CTD-2194D22.4,"Prostate cancer","prostate carcinoma",'-,GCST011957,5:1895715
rs10793821-<b>T</b>,"1 x 10-7",,NR,1.08,'-,NR,"RNU6-456P, LINC01843","Prostate cancer","prostate carcinoma",'-,GCST011957,5:134500518
rs148821008-<b>T</b>,"5 x 10-7",,5.59E-4,'-,'-,'-,CDYL2,"Prostate cancer","prostate carcinoma",'-,GCST011535,16:80633162
rs11544331-<b>T</b>,"1 x 10-15",,0.0285,'-,'-,'-,"C7orf50, GPER1","Prostate cancer","prostate carcinoma",'-,GCST011535,7:1091775
rs34402524-<b>?</b>,"5 x 10-6",,NR,0.884388,'-,[0.83-0.94],TET2,"Prostate cancer","prostate carcinoma",'-,GCST90027060,4:105275672
rs10069690-<b>?</b>,"3 x 10-10",,NR,0.88005,'-,[0.84-0.92],TERT,"Prostate cancer","prostate carcinoma",'-,GCST90027060,5:1279675
rs12653946-<b>?</b>,"2 x 10-11",,NR,1.12285,'-,[1.09-1.16],CTD-2194D22.4,"Prostate cancer","prostate carcinoma",'-,GCST90027060,5:1895715
rs7749823-<b>?</b>,"4 x 10-6",,NR,0.891521,'-,[0.84-0.94],"H1-4, H2BC5","Prostate cancer","prostate carcinoma",'-,GCST90027060,6:26157851
rs6457327-<b>?</b>,"5 x 10-8",,NR,1.1003,'-,[1.07-1.13],"C6orf15, RNU6-1133P","Prostate cancer","prostate carcinoma",'-,GCST90027060,6:31106253
rs17192225-<b>?</b>,"2 x 10-6",,NR,1.12175,'-,[1.07-1.17],"HLA-C, HCG27","Prostate cancer","prostate carcinoma",'-,GCST90027060,6:31262661
rs2263316-<b>?</b>,"3 x 10-7",,NR,1.09455,'-,[1.06-1.13],"HCP5, LINC01149","Prostate cancer","prostate carcinoma",'-,GCST90027060,6:31453520
rs2471980-<b>?</b>,"2 x 10-6",,NR,0.915623,'-,[0.88-0.95],"HSPA1B, SNHG32","Prostate cancer","prostate carcinoma",'-,GCST90027060,6:31833091
