"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs17603933-<b>G</b>,"3 x 10-9",,NR,'-,"0.01029 unit increase",[0.0069-0.0137],"PRAG1, FAM86B3P","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8310952
rs406123-<b>T</b>,"3 x 10-9",,NR,'-,"0.010409 unit decrease",[0.007-0.0138],"RNU6-682P, RPL10P19","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8915435
rs7830939-<b>A</b>,"3 x 10-9",,NR,'-,"0.010393 unit increase",[0.007-0.0138],"RNU6-526P, TNKS","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9522622
rs4240637-<b>A</b>,"3 x 10-9",,NR,'-,"0.010347 unit decrease",[0.0069-0.0138],MSRA,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10272247
rs35228837-<b>C</b>,"3 x 10-9",,NR,'-,"0.010226 unit increase",[0.0068-0.0136],MSRA,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10018398
rs2001707-<b>T</b>,"3 x 10-9",,NR,'-,"0.010338 unit increase",[0.0069-0.0138],FAM167A-AS1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11419924
rs2010390-<b>A</b>,"3 x 10-9",,NR,'-,"0.010315 unit increase",[0.0069-0.0137],"PPP1R3B, RNU6-1151P","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9189668
rs10092549-<b>C</b>,"4 x 10-9",,NR,'-,"0.010237 unit increase",[0.0068-0.0136],"LINC00529, XKR6","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11231570
rs10081437-<b>T</b>,"4 x 10-9",,NR,'-,"0.010288 unit increase",[0.0069-0.0137],"Metazoa_SRP, ERI1","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9091469
rs2645430-<b>A</b>,"4 x 10-9",,NR,'-,"0.010283 unit decrease",[0.0069-0.0137],FDFT1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11801600
rs55743011-<b>C</b>,"5 x 10-9",,NR,'-,"0.010188 unit increase",[0.0068-0.0136],MSRA,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10293631
rs60384372-<b>A</b>,"5 x 10-9",,NR,'-,"0.010197 unit increase",[0.0068-0.0136],MSRA,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10117074
rs6601641-<b>G</b>,"5 x 10-9",,NR,'-,"0.01016 unit decrease",[0.0068-0.0136],DEFB135,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11983376
rs2980505-<b>T</b>,"5 x 10-9",,NR,'-,"0.010079 unit decrease",[0.0067-0.0135],"PRAG1, FAM86B3P","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8317011
rs4562328-<b>C</b>,"5 x 10-9",,NR,'-,"0.010268 unit decrease",[0.0068-0.0137],RN7SL178P,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8494036
rs4262293-<b>T</b>,"5 x 10-9",,NR,'-,"0.010163 unit increase",[0.0067-0.0136],XKR6,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11078177
rs4078186-<b>A</b>,"5 x 10-9",,NR,'-,"0.010139 unit increase",[0.0067-0.0135],XKR6,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10976921
rs73189192-<b>C</b>,"5 x 10-9",,NR,'-,"0.010153 unit increase",[0.0067-0.0136],MSRA,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10053129
rs2572440-<b>G</b>,"6 x 10-9",,NR,'-,"0.010188 unit decrease",[0.0068-0.0136],FAM167A-AS1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11391501
rs4375003-<b>A</b>,"6 x 10-9",,NR,'-,"0.010094 unit decrease",[0.0067-0.0135],RN7SL178P,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8516832
rs11775334-<b>A</b>,"2 x 10-8",,NR,'-,"0.0098213 unit increase",[0.0064-0.0133],MSRA,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10214110
rs35614264-<b>C</b>,"3 x 10-8",,NR,'-,"0.0096371 unit increase",[0.0062-0.013],"RNU6-526P, RNU6-1151P","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9328023
rs17737449-<b>T</b>,"3 x 10-8",,NR,'-,"0.0094373 unit decrease",[0.0061-0.0128],"MSRA, MIR124-1HG","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9986444
rs117063744-<b>C</b>,"4 x 10-8",,NR,'-,"0.0093228 unit increase",[0.006-0.0126],"MIR124-1HG, MSRA","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9971398
rs17618598-<b>T</b>,"4 x 10-8",,NR,'-,"0.0095212 unit increase",[0.0061-0.0129],RN7SL178P,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8579080
rs80344830-<b>A</b>,"4 x 10-8",,NR,'-,"0.0093809 unit increase",[0.006-0.0127],XKR6,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11089300
rs13276420-<b>G</b>,"5 x 10-8",,NR,'-,"0.0094754 unit increase",[0.0061-0.0129],"MSRA, MIR124-1HG","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9993628
rs9918737-<b>T</b>,"5 x 10-8",,NR,'-,"0.0095319 unit decrease",[0.0061-0.0129],"TNKS, RNU6-526P","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9464033
rs17711777-<b>T</b>,"5 x 10-8",,NR,'-,"0.0092709 unit decrease",[0.0059-0.0126],PINX1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10765730
rs7823283-<b>T</b>,"5 x 10-8",,NR,'-,"0.009436 unit decrease",[0.006-0.0128],PPP1R3B,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9179054
rs80279740-<b>A</b>,"5 x 10-8",,NR,'-,"0.0095209 unit decrease",[0.0061-0.0129],RNU6-1151P,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9285540
rs56116032-<b>A</b>,"7 x 10-10",,NR,'-,"0.010574 unit decrease",[0.0072-0.0139],"AKAP8P1, JKAMPP1","General factor of neuroticism","neuroticism measurement",'-,GCST007709,9:11453149
rs10757411-<b>T</b>,"3 x 10-9",,NR,'-,"0.010437 unit decrease",[0.007-0.0139],'-,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,9:23301614
rs10812851-<b>T</b>,"8 x 10-9",,NR,'-,"0.010045 unit decrease",[0.0066-0.0135],LINGO2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,9:28607879
rs13291753-<b>A</b>,"4 x 10-8",,NR,'-,"0.0096513 unit decrease",[0.0062-0.0131],LINGO2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,9:28667295
rs7036984-<b>G</b>,"1 x 10-8",,NR,'-,"0.010148 unit increase",[0.0067-0.0136],FAM120AOS,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,9:93438258
rs2149351-<b>T</b>,"1 x 10-9",,NR,'-,"0.010539 unit decrease",[0.0072-0.0139],"TLR4, TPT1P9","General factor of neuroticism","neuroticism measurement",'-,GCST007709,9:117739366
rs1999066-<b>G</b>,"4 x 10-9",,NR,'-,"0.010309 unit decrease",[0.0069-0.0137],TLR4,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,9:117752186
rs13296664-<b>C</b>,"3 x 10-8",,NR,'-,"0.0095943 unit increase",[0.0062-0.013],RPL35AP22,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,9:117684418
rs2791459-<b>C</b>,"7 x 10-9",,NR,'-,"0.010104 unit decrease",[0.0067-0.0135],SORCS3,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,10:105026885
rs11596214-<b>G</b>,"7 x 10-9",,NR,'-,"0.010088 unit decrease",[0.0067-0.0135],SORCS3,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,10:104694074
rs12416372-<b>G</b>,"7 x 10-9",,NR,'-,"0.0099771 unit increase",[0.0066-0.0134],SORCS3,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,10:104698869
rs297346-<b>A</b>,"2 x 10-8",,NR,'-,"0.009713 unit decrease",[0.0063-0.0131],SOX6,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:16334225
rs2071754-<b>C</b>,"1 x 10-10",,NR,'-,"0.011488 unit decrease",[0.008-0.015],PAX6,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:31791034
rs7936522-<b>C</b>,"9 x 10-9",,NR,'-,"0.0099552 unit increase",[0.0066-0.0133],"PAX6, PAUPAR","General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:31817634
rs11039182-<b>T</b>,"9 x 10-11",,NR,'-,"0.011206 unit increase",[0.0078-0.0146],MADD,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:47325172
rs7107356-<b>A</b>,"1 x 10-10",,NR,'-,"0.011223 unit increase",[0.0078-0.0146],"MTCH2, AGBL2","General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:47654618
rs4434960-<b>A</b>,"3 x 10-9",,NR,'-,"0.010378 unit increase",[0.007-0.0138],"PSMC3, RAPSN","General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:47433000
rs10769248-<b>G</b>,"7 x 10-9",,NR,'-,"0.010117 unit increase",[0.0067-0.0135],"DDB2, PACSIN3","General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:47197759
rs34467936-<b>A</b>,"1 x 10-8",,NR,'-,"0.0098816 unit decrease",[0.0065-0.0133],"PTPRJ, NUP160","General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:47893747
rs1055447-<b>C</b>,"5 x 10-8",,NR,'-,"0.0094931 unit increase",[0.0061-0.0129],ARFGAP2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:47164873
rs10896636-<b>C</b>,"3 x 10-9",,NR,'-,"0.010268 unit increase",[0.0069-0.0137],ZDHHC5,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:57680560
rs564567-<b>C</b>,"2 x 10-8",,NR,'-,"0.0098376 unit increase",[0.0064-0.0132],GRM5,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:88962715
rs6483416-<b>G</b>,"4 x 10-8",,NR,'-,"0.0096017 unit increase",[0.0062-0.013],GRM5,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:88744172
rs4534613-<b>A</b>,"7 x 10-14",,NR,'-,"0.013043 unit decrease",[0.0096-0.0165],DRD2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:113515321
rs4936277-<b>A</b>,"3 x 10-12",,NR,'-,"0.01213 unit decrease",[0.0087-0.0155],"TMPRSS5, DRD2","General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:113561238
rs4309187-<b>A</b>,"4 x 10-12",,NR,'-,"0.01206 unit increase",[0.0087-0.0155],"DRD2, TMPRSS5","General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:113541721
rs7937477-<b>A</b>,"3 x 10-10",,NR,'-,"0.010915 unit increase",[0.0075-0.0143],DRD2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:113545374
rs1055075-<b>T</b>,"7 x 10-10",,NR,'-,"0.010681 unit decrease",[0.0073-0.0141],TTC12,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:113368790
rs7927693-<b>G</b>,"3 x 10-9",,NR,'-,"0.010359 unit increase",[0.0069-0.0138],DRD2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:113554746
rs11214629-<b>C</b>,"3 x 10-9",,NR,'-,"0.010304 unit increase",[0.0069-0.0137],DRD2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:113503962
rs11214589-<b>G</b>,"6 x 10-9",,NR,'-,"0.010185 unit decrease",[0.0068-0.0136],TTC12,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:113374326
rs72995548-<b>C</b>,"6 x 10-9",,NR,'-,"0.0098886 unit decrease",[0.0066-0.0132],"NCAM1-AS1, NCAM1","General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:113268199
rs4373974-<b>T</b>,"2 x 10-8",,NR,'-,"0.009777 unit decrease",[0.0064-0.0132],DRD2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:113559764
rs2155281-<b>G</b>,"2 x 10-8",,NR,'-,"0.0098168 unit increase",[0.0064-0.0132],NCAM1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:112967616
rs11605020-<b>G</b>,"1 x 10-8",,NR,'-,"0.0099597 unit increase",[0.0065-0.0134],"LINC02712, KIRREL3-AS3","General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:127110970
rs12788968-<b>G</b>,"3 x 10-8",,NR,'-,"0.0095777 unit increase",[0.0062-0.013],'-,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,11:127109887
rs6606710-<b>T</b>,"5 x 10-9",,NR,'-,"0.010185 unit increase",[0.0068-0.0136],MYO1H,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,12:109411098
rs11066591-<b>G</b>,"2 x 10-8",,NR,'-,"0.0098405 unit increase",[0.0064-0.0133],MYO1H,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,12:109442718
rs3741475-<b>G</b>,"2 x 10-8",,NR,'-,"0.009824 unit increase",[0.0064-0.0133],NOS1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,12:117232109
rs147861665-<b>C</b>,"1 x 10-9",,NR,'-,"0.010263 unit increase",[0.007-0.0136],PCDH9,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,13:66421912
rs8002150-<b>A</b>,"2 x 10-9",,NR,'-,"0.010424 unit increase",[0.007-0.0138],"ZDHHC20P4, LINC02342","General factor of neuroticism","neuroticism measurement",'-,GCST007709,13:68944447
rs2210903-<b>G</b>,"2 x 10-9",,NR,'-,"0.01041 unit increase",[0.007-0.0138],"ZDHHC20P4, SNRPFP3","General factor of neuroticism","neuroticism measurement",'-,GCST007709,13:69002843
rs9541684-<b>A</b>,"6 x 10-9",,NR,'-,"0.010059 unit increase",[0.0067-0.0134],ZDHHC20P4,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,13:68994480
rs9541650-<b>C</b>,"7 x 10-9",,NR,'-,"0.010098 unit increase",[0.0067-0.0135],"LINC02342, ZDHHC20P4","General factor of neuroticism","neuroticism measurement",'-,GCST007709,13:68961228
rs7993004-<b>A</b>,"2 x 10-8",,NR,'-,"0.0097843 unit increase",[0.0064-0.0132],"RN7SL761P, LINC00550","General factor of neuroticism","neuroticism measurement",'-,GCST007709,13:68773769
rs9517313-<b>G</b>,"4 x 10-10",,NR,'-,"0.010864 unit increase",[0.0075-0.0143],"FARP1, STK24","General factor of neuroticism","neuroticism measurement",'-,GCST007709,13:98453638
rs9517299-<b>C</b>,"2 x 10-8",,NR,'-,"0.0097528 unit decrease",[0.0064-0.0132],FARP1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,13:98442777
rs56294784-<b>C</b>,"3 x 10-8",,NR,'-,"0.0096123 unit decrease",[0.0062-0.013],STK24,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,13:98470944
rs4902704-<b>G</b>,"1 x 10-8",,NR,'-,"0.0099571 unit increase",[0.0066-0.0134],EXD2,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,14:69236871
rs4140799-<b>G</b>,"1 x 10-8",,NR,'-,"0.0099509 unit decrease",[0.0065-0.0134],SIPA1L1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,14:71704252
rs12896360-<b>A</b>,"2 x 10-11",,NR,'-,"0.011741 unit increase",[0.0083-0.0152],YLPM1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,14:74811478
rs9671386-<b>G</b>,"2 x 10-10",,NR,'-,"0.011104 unit increase",[0.0077-0.0145],AREL1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,14:74684344
rs12889665-<b>T</b>,"1 x 10-9",,NR,'-,"0.010556 unit increase",[0.0071-0.014],YLPM1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,14:74768127
rs16661-<b>A</b>,"6 x 10-9",,NR,'-,"0.01021 unit increase",[0.0068-0.0137],AREL1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,14:74661613
rs1563245-<b>T</b>,"4 x 10-8",,NR,'-,"0.0095371 unit increase",[0.0061-0.013],SEMA6D,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,15:47226610
rs35755513-<b>C</b>,"3 x 10-8",,NR,'-,"0.0094421 unit increase",[0.0061-0.0128],CSNK1G1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,15:64355987
rs12903563-<b>T</b>,"3 x 10-8",,NR,'-,"0.0096037 unit decrease",[0.0062-0.013],LINGO1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,15:77741393
rs76082995-<b>T</b>,"8 x 10-9",,NR,'-,"0.010157 unit increase",[0.0067-0.0136],MAP1LC3B,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,16:87392701
rs113434679-<b>C</b>,"3 x 10-21",,NR,'-,"0.016272 unit increase",[0.013-0.02],KANSL1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,17:46049399
rs2532263-<b>G</b>,"4 x 10-20",,NR,'-,"0.015798 unit increase",[0.012-0.019],KANSL1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,17:46175102
rs62054807-<b>C</b>,"2 x 10-16",,NR,'-,"0.014157 unit increase",[0.011-0.018],MAPT-AS1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,17:45838131
rs199529-<b>A</b>,"3 x 10-16",,NR,'-,"0.014192 unit increase",[0.011-0.018],"WNT3, NSF","General factor of neuroticism","neuroticism measurement",'-,GCST007709,17:46759851
rs199470-<b>C</b>,"6 x 10-16",,NR,'-,"0.014231 unit decrease",[0.011-0.018],NSF,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,17:46675659
rs62064598-<b>C</b>,"3 x 10-15",,NR,'-,"0.013541 unit increase",[0.01-0.017],ARHGAP27,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,17:45397302
rs490647-<b>A</b>,"4 x 10-8",,0.227,'-,"0.092 unit increase",[0.059-0.125],"GRIK3, FTLP18",Neuroticism,"neuroticism measurement",'-,GCST003447,1:36777142
rs4653663-<b>A</b>,"2 x 10-8",,0.255,'-,"0.091 unit increase",[0.06-0.122],"RNU6-1304P, ENAH",Neuroticism,"neuroticism measurement",'-,GCST003447,1:225739516
rs12637928-<b>A</b>,"4 x 10-8",,0.49,'-,"0.077 unit decrease",[0.05-0.104],RNU6ATAC15P,Neuroticism,"neuroticism measurement",'-,GCST003447,3:110465902
rs62353264-<b>A</b>,"4 x 10-8",,0.986,'-,"0.335 unit decrease",[0.22-0.45],TMEM192,Neuroticism,"neuroticism measurement",'-,GCST003447,4:165164653
rs12682352-<b>T</b>,"2 x 10-15",,0.525,'-,"0.115 unit increase",[0.088-0.142],MFHAS1,Neuroticism,"neuroticism measurement",'-,GCST003447,8:8788736
rs12378446-<b>T</b>,"9 x 10-9",,0.791,'-,"0.1 unit increase",[0.067-0.133],"JKAMPP1, AKAP8P1",Neuroticism,"neuroticism measurement",'-,GCST003447,9:11369213
rs4977844-<b>C</b>,"3 x 10-8",,0.358,'-,"0.083 unit increase",[0.054-0.112],"SUMO2P2, LINC01239",Neuroticism,"neuroticism measurement",'-,GCST003447,9:23295901
rs111433752-<b>T</b>,"9 x 10-12",,0.79,'-,"0.12 unit decrease",[0.085-0.155],LINC02210-CRHR1,Neuroticism,"neuroticism measurement",'-,GCST003447,17:45780623
rs1187264-<b>C</b>,"1 x 10-8",,0.136,'-,"0.118 unit increase",[0.077-0.159],"RN7SKP182, RPL12P40",Neuroticism,"neuroticism measurement",'-,GCST003447,18:37709684
rs2678897-<b>A</b>,"4 x 10-7",,'-,'-,"0.074 unit increase",[0.045-0.103],VRK2,Neuroticism,"neuroticism measurement",'-,GCST003447,2:57942283
rs4720750-<b>A</b>,"3 x 10-6",,'-,'-,"0.083 unit decrease",[0.048-0.118],"UMAD1, RPA3",Neuroticism,"neuroticism measurement",'-,GCST003447,7:7665644
rs8081460-<b>A</b>,"1 x 10-6",,'-,'-,"0.074 unit decrease",[0.045-0.103],NTN1,Neuroticism,"neuroticism measurement",'-,GCST003447,17:9061955
rs1187256-<b>T</b>,"2 x 10-8",,'-,'-,"0.12 unit increase",[0.079-0.161],RPL12P40,Neuroticism,"neuroticism measurement",'-,GCST003447,18:37715367
rs6981523-<b>T</b>,"3 x 10-24",,0.5,'-,"0.098 unit increase",[0.069-0.127],"LINC00529, XKR6",Neuroticism,"neuroticism measurement",'-,GCST004017,8:11204283
rs9611519-<b>T</b>,"9 x 10-9",,0.31,'-,"0.053 unit increase",[0.020-0.086],"L3MBTL2-AS1, L3MBTL2",Neuroticism,"neuroticism measurement",'-,GCST004017,22:41217184
rs10172965-<b>T</b>,"3 x 10-6",,0.173,'-,"0.021157008 unit decrease",[0.012-0.03],ANTXR1,Neuroticism,"neuroticism measurement",'-,GCST003770,2:195007095
rs10244364-<b>T</b>,"4 x 10-7",,0.664,'-,"0.01865112 unit decrease",[0.011-0.026],"LSM8, CTTNBP2",Neuroticism,"neuroticism measurement",'-,GCST003770,7:117889587
rs10406374-<b>A</b>,"3 x 10-6",,0.086,'-,"0.029039646 unit decrease",[0.017-0.041],"NOVA2, NANOS2",Neuroticism,"neuroticism measurement",'-,GCST003770,19:45930475
rs10496435-<b>A</b>,"8 x 10-6",,0.38,'-,"0.016587289 unit increase",[0.0093-0.0239],NPHP1,Neuroticism,"neuroticism measurement",'-,GCST003770,2:110171596
